,statusN,statusS,tempC,dewptC,windspeedKMH,presMB,presTenMB,ccOKTA,lowCCOKTA,HKM,visKM,precipMM
statusN,1.0,0.10223813092650366,0.1302473603324937,0.027162511045283676,0.04431337290389793,-0.06961995149872974,-0.041967388511301475,0.0644192976692212,0.07946991251860495,-0.013769892902043295,-0.022343004201742976,0.01084975117209626
statusS,0.10223813092650366,1.0,0.091053328345005,-0.007163059668906845,0.08208469217309942,0.02540127594919789,-0.09915478957758725,0.09742914365043735,0.08420903765968199,0.03638357676187149,0.25639182067409405,0.02851573987846287
tempC,0.1302473603324937,0.091053328345005,1.0,0.42096251291826836,0.4598889597259534,-0.4017240979674139,-0.20095188207575745,-0.13040397469559187,-0.008785505348617282,0.023118923585416593,0.5116453319774539,-0.16012723987805097
dewptC,0.027162511045283676,-0.007163059668906845,0.42096251291826836,1.0,0.2541684201093385,-0.6646907724756109,-0.03302923714659493,0.27660553561249535,0.25602266615486163,-0.1246291917193218,-0.015273003350745011,0.2511214547323734
windspeedKMH,0.04431337290389793,0.08208469217309942,0.4598889597259534,0.2541684201093385,1.0,-0.3357854436967435,-0.1207991036678843,0.15970894454430926,0.182584333730029,-0.06645618334736624,0.2982689880449472,0.13345589687572176
presMB,-0.06961995149872974,0.02540127594919789,-0.4017240979674139,-0.6646907724756109,-0.3357854436967435,1.0,0.19719759869339323,-0.22814528345732193,-0.22734491736809606,0.13320857234630648,0.04113781853428629,-0.25366873746740204
presTenMB,-0.041967388511301475,-0.09915478957758725,-0.20095188207575745,-0.03302923714659493,-0.1207991036678843,0.19719759869339323,1.0,-0.052070222513361526,-0.11597802608680757,-0.056387710977785346,-0.13575742613728592,0.06055787612240251
ccOKTA,0.0644192976692212,0.09742914365043735,-0.13040397469559187,0.27660553561249535,0.15970894454430926,-0.22814528345732193,-0.052070222513361526,1.0,0.7472884280142255,-0.16040089935498275,-0.10835646759941292,0.42465792463118496
lowCCOKTA,0.07946991251860495,0.08420903765968199,-0.008785505348617282,0.25602266615486163,0.182584333730029,-0.22734491736809606,-0.11597802608680757,0.7472884280142255,1.0,-0.08566487299729071,-0.1149214297506133,0.3762853348680293
HKM,-0.013769892902043295,0.03638357676187149,0.023118923585416593,-0.1246291917193218,-0.06645618334736624,0.13320857234630648,-0.056387710977785346,-0.16040089935498275,-0.08566487299729071,1.0,0.1049380089126826,-0.2296721819428715
visKM,-0.022343004201742976,0.25639182067409405,0.5116453319774539,-0.015273003350745011,0.2982689880449472,0.04113781853428629,-0.13575742613728592,-0.10835646759941292,-0.1149214297506133,0.1049380089126826,1.0,-0.23042841932918842
precipMM,0.01084975117209626,0.02851573987846287,-0.16012723987805097,0.2511214547323734,0.13345589687572176,-0.25366873746740204,0.06055787612240251,0.42465792463118496,0.3762853348680293,-0.2296721819428715,-0.23042841932918842,1.0
