,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.20213207220985366,0.01980508022708993,-0.0229445974105323,0.015429716570229353,-0.018582235857036156,-0.00808262612204194,0.014810597958746643,0.023766806096684155,0.008770903139824262,0.027652801098537422,-0.018175784379446763
statusS,0.20213207220985366,1.0,0.020542500737360147,-0.023792988233057925,0.012339530113143328,0.005725730923728311,-0.020255391130469664,-0.022303606016441928,-0.006870014695070109,0.01752376164484101,-0.02785382426499721,-0.03681553315085748
temperatureC,0.01980508022708993,0.020542500737360147,1.0,0.4209568518506949,0.45983211361435394,-0.40180694960637164,-0.20087025477093096,-0.13055408675290803,-0.008954833360332579,0.023096982528018378,0.5116508496825788,-0.14380152629622212
dewpointC,-0.0229445974105323,-0.023792988233057925,0.4209568518506949,1.0,0.2542699959134329,-0.6646605826261988,-0.03303303696654548,0.2764986558338376,0.2559622768403361,-0.12462652319987846,-0.015266326496928799,0.23814331029516816
windspeedKMH,0.015429716570229353,0.012339530113143328,0.45983211361435394,0.2542699959134329,1.0,-0.3357527651624118,-0.1209008682845069,0.15971632730335555,0.18245530183826184,-0.06630645701113529,0.2984832126801065,0.14575961770082027
pressureMB,-0.018582235857036156,0.005725730923728311,-0.40180694960637164,-0.6646605826261988,-0.3357527651624118,1.0,0.1971250519841467,-0.2278744244331192,-0.2270761701690064,0.1332125365567779,0.041099602875001744,-0.24943776717962
pressureTendencyMB,-0.00808262612204194,-0.020255391130469664,-0.20087025477093096,-0.03303303696654548,-0.1209008682845069,0.1971250519841467,1.0,-0.052125082048956,-0.11603744359256803,-0.05638344071271964,-0.13572772766313804,0.04263343403353937
cloudCoverOKTA,0.014810597958746643,-0.022303606016441928,-0.13055408675290803,0.2764986558338376,0.15971632730335555,-0.2278744244331192,-0.052125082048956,1.0,0.7472379799735089,-0.1603111347061444,-0.10840798585872469,0.4060633354237972
lowCloudCoverOKTA,0.023766806096684155,-0.006870014695070109,-0.008954833360332579,0.2559622768403361,0.18245530183826184,-0.2270761701690064,-0.11603744359256803,0.7472379799735089,1.0,-0.08561177013882097,-0.1148843850652937,0.36455620212765033
HKm,0.008770903139824262,0.01752376164484101,0.023096982528018378,-0.12462652319987846,-0.06630645701113529,0.1332125365567779,-0.05638344071271964,-0.1603111347061444,-0.08561177013882097,1.0,0.10492939651573946,-0.23094606831245382
visibilityKM,0.027652801098537422,-0.02785382426499721,0.5116508496825788,-0.015266326496928799,0.2984832126801065,0.041099602875001744,-0.13572772766313804,-0.10840798585872469,-0.1148843850652937,0.10492939651573946,1.0,-0.21896824219256408
precipMM,-0.018175784379446763,-0.03681553315085748,-0.14380152629622212,0.23814331029516816,0.14575961770082027,-0.24943776717962,0.04263343403353937,0.4060633354237972,0.36455620212765033,-0.23094606831245382,-0.21896824219256408,1.0
