,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.3911171106827153,0.17928342942050315,0.30906752380491603,0.11654012856451812,-0.2800575163078891,0.032700159996382816,0.1870767238924671,0.1779230219598253,-0.05734761975079847,0.044001903372907276,0.10708702342012576
statusS,0.3911171106827153,1.0,0.1399503090399948,0.03232370884468272,0.15474363214892187,-0.07400912802685501,0.008789432378425588,0.05879007101226335,0.04187169367376184,0.016851966788433977,0.07310769882502333,0.0392055695926988
temperatureC,0.17928342942050315,0.1399503090399948,1.0,0.4209518822417361,0.4598288072597155,-0.4018894156192409,-0.20081370457151776,-0.13067182867512137,-0.009087838816201411,0.023082105421503966,0.511648252069781,-0.1439709766663636
dewpointC,0.30906752380491603,0.03232370884468272,0.4209518822417361,1.0,0.2542644645730286,-0.6646287659438229,-0.03302658936335752,0.2764630735619441,0.25592921437521915,-0.12462721876474193,-0.015262389014838732,0.23807837396920617
windspeedKMH,0.11654012856451812,0.15474363214892187,0.4598288072597155,0.2542644645730286,1.0,-0.3357462577045942,-0.120894018468304,0.15967935601156336,0.18241735977044282,-0.0663076054613795,0.29849262350763084,0.14569669372364752
pressureMB,-0.2800575163078891,-0.07400912802685501,-0.4018894156192409,-0.6646287659438229,-0.3357462577045942,1.0,0.1970629461454156,-0.22769001554446014,-0.22689736416974018,0.13321645948577035,0.04106558880173235,-0.24914415413181557
pressureTendencyMB,0.032700159996382816,0.008789432378425588,-0.20081370457151776,-0.03302658936335752,-0.120894018468304,0.1970629461454156,1.0,-0.05216493609807534,-0.11607126667568497,-0.056386283630575934,-0.135711893494353,0.04255475573443994
cloudCoverOKTA,0.1870767238924671,0.05879007101226335,-0.13067182867512137,0.2764630735619441,0.15967935601156336,-0.22769001554446014,-0.05216493609807534,1.0,0.7472777122812327,-0.16028615251707312,-0.10843252634319943,0.4062030668162965
lowCloudCoverOKTA,0.1779230219598253,0.04187169367376184,-0.009087838816201411,0.25592921437521915,0.18241735977044282,-0.22689736416974018,-0.11607126667568497,0.7472777122812327,1.0,-0.08559299635548724,-0.11490774503760279,0.364701583234806
HKm,-0.05734761975079847,0.016851966788433977,0.023082105421503966,-0.12462721876474193,-0.0663076054613795,0.13321645948577035,-0.056386283630575934,-0.16028615251707312,-0.08559299635548724,1.0,0.10492362748112095,-0.23088929038598577
visibilityKM,0.044001903372907276,0.07310769882502333,0.511648252069781,-0.015262389014838732,0.29849262350763084,0.04106558880173235,-0.135711893494353,-0.10843252634319943,-0.11490774503760279,0.10492362748112095,1.0,-0.2189747227074556
precipMM,0.10708702342012576,0.0392055695926988,-0.1439709766663636,0.23807837396920617,0.14569669372364752,-0.24914415413181557,0.04255475573443994,0.4062030668162965,0.364701583234806,-0.23088929038598577,-0.2189747227074556,1.0
