,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.6208591665415858,-0.05020450506667483,0.0027669920731154245,0.00775996280983939,0.18843954396735393,0.05655170583109079,0.07866436321962696,0.033341459841855825,,0.16307864719681414,0.017624470395286532
statusS,0.6208591665415858,1.0,0.13858413440571693,-0.020476166168414595,0.13780106013603438,0.14922296834609416,0.05869660132688799,0.052962153217425256,0.049397093013848016,,0.23560891813152499,-0.0638193352552973
temperatureC,-0.05020450506667483,0.13858413440571693,1.0,0.4275206202991359,0.43125373302802517,-0.38115109234083544,-0.20432187646969646,-0.22220739008308926,-0.13058899314269531,,0.6350724827498191,-0.15495843700945688
dewpointC,0.0027669920731154245,-0.020476166168414595,0.4275206202991359,1.0,0.053441166984608435,-0.4417030488668726,-0.08932193172291338,0.06976214543530607,0.005147577422696083,,0.19093324077994753,0.19813391861412763
windspeedKMH,0.00775996280983939,0.13780106013603438,0.43125373302802517,0.053441166984608435,1.0,-0.1902076677011782,-0.15743952363796515,0.13321394370760642,0.1532152861545011,,0.33765079303796725,0.11123859079516597
pressureMB,0.18843954396735393,0.14922296834609416,-0.38115109234083544,-0.4417030488668726,-0.1902076677011782,1.0,0.27922578538842846,-0.028644438846307713,-0.055445659371572725,,-0.08918900845826354,-0.18058670134642818
pressureTendencyMB,0.05655170583109079,0.05869660132688799,-0.20432187646969646,-0.08932193172291338,-0.15743952363796515,0.27922578538842846,1.0,-0.08608352164025616,-0.16609985082499606,,-0.10704693965846088,-0.03102398824422742
cloudCoverOKTA,0.07866436321962696,0.052962153217425256,-0.22220739008308926,0.06976214543530607,0.13321394370760642,-0.028644438846307713,-0.08608352164025616,1.0,0.8143994971526407,,-0.1619276503021173,0.35476234866665574
lowCloudCoverOKTA,0.033341459841855825,0.049397093013848016,-0.13058899314269531,0.005147577422696083,0.1532152861545011,-0.055445659371572725,-0.16609985082499606,0.8143994971526407,1.0,,-0.12444870439330984,0.3252480397492407
HKm,,,,,,,,,,,,
visibilityKM,0.16307864719681414,0.23560891813152499,0.6350724827498191,0.19093324077994753,0.33765079303796725,-0.08918900845826354,-0.10704693965846088,-0.1619276503021173,-0.12444870439330984,,1.0,-0.16716272691946765
precipMM,0.017624470395286532,-0.0638193352552973,-0.15495843700945688,0.19813391861412763,0.11123859079516597,-0.18058670134642818,-0.03102398824422742,0.35476234866665574,0.3252480397492407,,-0.16716272691946765,1.0
