,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.18149150780737192,0.02295025894841753,-0.03484740430680698,0.038445069160082,0.041136480583952646,-0.0005581947503605513,-9.89115263569292e-05,-9.814939089056682e-05,,0.013864044205608087,-0.02353871461507428
statusS,0.18149150780737192,1.0,0.004219124149723189,-0.07416234220519255,0.015248710318889948,0.07614371891152928,-0.03230466748212125,0.01236413379124584,0.04447185789796865,,-0.05024519236385342,-0.056290569541257524
temperatureC,0.02295025894841753,0.004219124149723189,1.0,0.4271347193202286,0.43118461680971176,-0.3813227848158789,-0.2041374328180515,-0.22251267392231375,-0.13094047854036175,,0.6351161786345422,-0.1555285257365674
dewpointC,-0.03484740430680698,-0.07416234220519255,0.4271347193202286,1.0,0.053469057622261215,-0.44100642150557995,-0.08945816115740622,0.07027177825200362,0.005681649393357798,,0.19076791908222604,0.19884934311342037
windspeedKMH,0.038445069160082,0.015248710318889948,0.43118461680971176,0.053469057622261215,1.0,-0.19009240121178708,-0.15747168989830124,0.13321310510170079,0.15321573147455167,,0.33764030965921915,0.11116944479471863
pressureMB,0.041136480583952646,0.07614371891152928,-0.3813227848158789,-0.44100642150557995,-0.19009240121178708,1.0,0.27890529439610845,-0.02795189838371804,-0.0547535594289335,,-0.08932913427159378,-0.17889353447963707
pressureTendencyMB,-0.0005581947503605513,-0.03230466748212125,-0.2041374328180515,-0.08945816115740622,-0.15747168989830124,0.27890529439610845,1.0,-0.08628480599953148,-0.16626883994063374,,-0.10695884472542624,-0.031447323572169464
cloudCoverOKTA,-9.89115263569292e-05,0.01236413379124584,-0.22251267392231375,0.07027177825200362,0.13321310510170079,-0.02795189838371804,-0.08628480599953148,1.0,0.814546167115584,,-0.16208033281329248,0.35566259125798333
lowCloudCoverOKTA,-9.814939089056682e-05,0.04447185789796865,-0.13094047854036175,0.005681649393357798,0.15321573147455167,-0.0547535594289335,-0.16626883994063374,0.814546167115584,1.0,,-0.12460783912276827,0.326154000729237
HKm,,,,,,,,,,,,
visibilityKM,0.013864044205608087,-0.05024519236385342,0.6351161786345422,0.19076791908222604,0.33764030965921915,-0.08932913427159378,-0.10695884472542624,-0.16208033281329248,-0.12460783912276827,,1.0,-0.16732732199546416
precipMM,-0.02353871461507428,-0.056290569541257524,-0.1555285257365674,0.19884934311342037,0.11116944479471863,-0.17889353447963707,-0.031447323572169464,0.35566259125798333,0.326154000729237,,-0.16732732199546416,1.0
