,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.4542363136922181,0.04650397256620779,-0.046151352787809775,0.033014603168102154,-0.04193560851134106,0.034487722767728456,0.0870859223544662,0.09897493454914515,,0.10983824596314627,0.02375359198051556
statusS,0.4542363136922181,1.0,0.02137850309658431,0.05752629315318031,-0.022334632806201245,-0.026197102087429983,0.025936287990251806,0.07024340416019338,0.028358920386867294,,0.047779914568103196,0.05067200781144244
temperatureC,0.04650397256620779,0.02137850309658431,1.0,0.42767298911967666,0.43128382985772284,-0.3810770585212395,-0.20439547819707632,-0.2220836781967805,-0.13044907508724293,,0.6350574191732422,-0.1547221717115787
dewpointC,-0.046151352787809775,0.05752629315318031,0.42767298911967666,1.0,0.05343162517015841,-0.44193450084979896,-0.08927376143740551,0.06958881753055401,0.004966326346951381,,0.1909971345755493,0.19788546076083852
windspeedKMH,0.033014603168102154,-0.022334632806201245,0.43128382985772284,0.05343162517015841,1.0,-0.19024519503040127,-0.15742797578792853,0.13321421804835243,0.15321513159887426,,0.33765661026912996,0.11126218881129298
pressureMB,-0.04193560851134106,-0.026197102087429983,-0.3810770585212395,-0.44193450084979896,-0.19024519503040127,1.0,0.2793326025664069,-0.0288716894887719,-0.055672978729072384,,-0.08913600330059122,-0.1811516298118642
pressureTendencyMB,0.034487722767728456,0.025936287990251806,-0.20439547819707632,-0.08927376143740551,-0.15742797578792853,0.2793326025664069,1.0,-0.08601410622844494,-0.1660412237418667,,-0.10708257145286967,-0.030875487337284187
cloudCoverOKTA,0.0870859223544662,0.07024340416019338,-0.2220836781967805,0.06958881753055401,0.13321421804835243,-0.0288716894887719,-0.08601410622844494,1.0,0.8143505674826895,,-0.16186671441436337,0.354460920062797
lowCloudCoverOKTA,0.09897493454914515,0.028358920386867294,-0.13044907508724293,0.004966326346951381,0.15321513159887426,-0.055672978729072384,-0.1660412237418667,0.8143505674826895,1.0,,-0.12438565778625427,0.3249436827660854
HKm,,,,,,,,,,,,
visibilityKM,0.10983824596314627,0.047779914568103196,0.6350574191732422,0.1909971345755493,0.33765661026912996,-0.08913600330059122,-0.10708257145286967,-0.16186671441436337,-0.12438565778625427,,1.0,-0.1670889638450591
precipMM,0.02375359198051556,0.05067200781144244,-0.1547221717115787,0.19788546076083852,0.11126218881129298,-0.1811516298118642,-0.030875487337284187,0.354460920062797,0.3249436827660854,,-0.1670889638450591,1.0
