,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.4802266418754124,-0.1082699625875415,-0.29697094675186225,0.0462666676570303,0.05262273139692935,0.06013590075723622,0.12687988719572552,0.14413236842506005,,-0.03298494796979709,-0.04878272492300056
statusS,0.4802266418754124,1.0,-0.08965465573931333,-0.13619991990112193,0.03121580750364324,0.04516903961769623,0.02332490464898969,0.08974049921957998,0.08896172585961248,,0.006666714274078589,-0.010143897631030132
temperatureC,-0.1082699625875415,-0.08965465573931333,1.0,0.42783705915481274,0.43131655791188567,-0.380994287813639,-0.20447518938868867,-0.22195027309515677,-0.13029898880663285,,0.635042937713663,-0.15446534080125335
dewpointC,-0.29697094675186225,-0.13619991990112193,0.42783705915481274,1.0,0.05342175145433273,-0.4421656937425444,-0.08922343724878457,0.06941302922081533,0.004782517051640723,,0.19106625878191105,0.19763175981285577
windspeedKMH,0.0462666676570303,0.03121580750364324,0.43131655791188567,0.05342175145433273,1.0,-0.19028215015116207,-0.1574160517909523,0.1332144897881119,0.15321497398116596,,0.3376636744972063,0.11128583885371554
pressureMB,0.05262273139692935,0.04516903961769623,-0.380994287813639,-0.4421656937425444,-0.19028215015116207,1.0,0.279439146708135,-0.02909687433119761,-0.05589825969898271,,-0.08907985939552278,-0.18171234891918214
pressureTendencyMB,0.06013590075723622,0.02332490464898969,-0.20447518938868867,-0.08922343724878457,-0.1574160517909523,0.279439146708135,1.0,-0.08594331660464835,-0.16598123386925784,,-0.10712138322940086,-0.030724267507747597
cloudCoverOKTA,0.12687988719572552,0.08974049921957998,-0.22195027309515677,0.06941302922081533,0.1332144897881119,-0.02909687433119761,-0.08594331660464835,1.0,0.8143016179555608,,-0.1618007847584975,0.3541591725898507
lowCloudCoverOKTA,0.14413236842506005,0.08896172585961248,-0.13029898880663285,0.004782517051640723,0.15321497398116596,-0.05589825969898271,-0.16598123386925784,0.8143016179555608,1.0,,-0.12431761701969674,0.3246389960924619
HKm,,,,,,,,,,,,
visibilityKM,-0.03298494796979709,0.006666714274078589,0.635042937713663,0.19106625878191105,0.3376636744972063,-0.08907985939552278,-0.10712138322940086,-0.1618007847584975,-0.12431761701969674,,1.0,-0.16700548613439697
precipMM,-0.04878272492300056,-0.010143897631030132,-0.15446534080125335,0.19763175981285577,0.11128583885371554,-0.18171234891918214,-0.030724267507747597,0.3541591725898507,0.3246389960924619,,-0.16700548613439697,1.0
