,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.26918711624009556,0.1387824376412816,0.15718007614253665,0.05866431136510726,-0.14603937657532873,-0.011957634188414848,0.1285672785665829,0.1471150468974945,,0.09458792313734582,0.057786848203742434
statusS,0.26918711624009556,1.0,0.16239381769707148,0.01275461616217837,0.15439157347328503,-0.1061521446084839,-0.03643402625164649,0.023980194023828616,0.014340557055248487,,0.05280361643383838,0.005621508993947016
temperatureC,0.1387824376412816,0.16239381769707148,1.0,0.49129521274311766,0.5189134861625283,-0.523480976868042,-0.20892004217511814,-0.18729008301756275,-0.02795141111341434,,0.5281412255700791,-0.12590011212241328
dewpointC,0.15718007614253665,0.01275461616217837,0.49129521274311766,1.0,0.1073523255788832,-0.5579057823831983,-0.07139393239435016,0.09929730010412083,0.14753882257699727,,0.1116632114808713,0.1381474817053079
windspeedKMH,0.05866431136510726,0.15439157347328503,0.5189134861625283,0.1073523255788832,1.0,-0.2277505969679268,-0.14352145776174824,0.04794884063498642,0.11053836009186412,,0.4261266044153184,0.04400022293014719
pressureMB,-0.14603937657532873,-0.1061521446084839,-0.523480976868042,-0.5579057823831983,-0.2277505969679268,1.0,0.25378014643393193,0.036878912851032536,-0.05605942730666639,,-0.04877873620030276,-0.08514554685518258
pressureTendencyMB,-0.011957634188414848,-0.03643402625164649,-0.20892004217511814,-0.07139393239435016,-0.14352145776174824,0.25378014643393193,1.0,-0.08171446895218454,-0.14410999237947636,,-0.14918380730333425,-0.0014132298236999505
cloudCoverOKTA,0.1285672785665829,0.023980194023828616,-0.18729008301756275,0.09929730010412083,0.04794884063498642,0.036878912851032536,-0.08171446895218454,1.0,0.7706942613520626,,-0.010003819014571473,0.2907281897377936
lowCloudCoverOKTA,0.1471150468974945,0.014340557055248487,-0.02795141111341434,0.14753882257699727,0.11053836009186412,-0.05605942730666639,-0.14410999237947636,0.7706942613520626,1.0,,0.02666117228469706,0.27903678628832423
HKm,,,,,,,,,,,,
visibilityKM,0.09458792313734582,0.05280361643383838,0.5281412255700791,0.1116632114808713,0.4261266044153184,-0.04877873620030276,-0.14918380730333425,-0.010003819014571473,0.02666117228469706,,1.0,-0.08719280345999968
precipMM,0.057786848203742434,0.005621508993947016,-0.12590011212241328,0.1381474817053079,0.04400022293014719,-0.08514554685518258,-0.0014132298236999505,0.2907281897377936,0.27903678628832423,,-0.08719280345999968,1.0
