,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.4962898708414021,0.18889682366532606,0.05785424083199449,0.12181825133187243,-0.05042222549306488,0.05824330902515218,0.0645376147070481,0.0737755305599224,-0.013058649165708258,0.06861887274111142,0.06098749274283858
statusS,0.4962898708414021,1.0,0.18164146858594585,0.027805980577292066,0.11604679134163592,-0.0779551566773049,0.009248050579800196,0.10043440943014995,0.09700129264470388,-0.01429426221941836,0.08870352559343796,0.05098674520491317
temperatureC,0.18889682366532606,0.18164146858594585,1.0,0.18858723216565312,0.3303982368413459,-0.056977222270199315,-0.17854142827568276,-0.2525721317271542,-0.12624392470999118,0.10265258673770371,0.5784826921655215,-0.2997063928344664
dewpointC,0.05785424083199449,0.027805980577292066,0.18858723216565312,1.0,0.381582446711998,-0.32080806013356383,0.0008106460451274569,0.15182030284448833,0.16984873131728226,-0.03194428602725026,-0.04506598846211207,0.14873004893808037
windspeedKMH,0.12181825133187243,0.11604679134163592,0.3303982368413459,0.381582446711998,1.0,-0.44232611101542646,-0.0836886818717305,0.22625527897244274,0.2110349305483108,-0.0645952014502149,0.16982243443390646,0.1785179041011304
pressureMB,-0.05042222549306488,-0.0779551566773049,-0.056977222270199315,-0.32080806013356383,-0.44232611101542646,1.0,0.19179448781816627,-0.22515478896470137,-0.23052313462353274,0.058590691291069336,0.07802624275910398,-0.22384041574807143
pressureTendencyMB,0.05824330902515218,0.009248050579800196,-0.17854142827568276,0.0008106460451274569,-0.0836886818717305,0.19179448781816627,1.0,-0.0010515354739703204,-0.0755409971688931,-0.09389604615062801,-0.1209631867282055,0.09018383936410641
cloudCoverOKTA,0.0645376147070481,0.10043440943014995,-0.2525721317271542,0.15182030284448833,0.22625527897244274,-0.22515478896470137,-0.0010515354739703204,1.0,0.6818610796411657,-0.1875913381493408,-0.21664651004170493,0.4608958495478434
lowCloudCoverOKTA,0.0737755305599224,0.09700129264470388,-0.12624392470999118,0.16984873131728226,0.2110349305483108,-0.23052313462353274,-0.0755409971688931,0.6818610796411657,1.0,-0.078230930733425,-0.2743388828542384,0.40737111421941813
HKm,-0.013058649165708258,-0.01429426221941836,0.10265258673770371,-0.03194428602725026,-0.0645952014502149,0.058590691291069336,-0.09389604615062801,-0.1875913381493408,-0.078230930733425,1.0,0.1420362344938316,-0.24470186938347593
visibilityKM,0.06861887274111142,0.08870352559343796,0.5784826921655215,-0.04506598846211207,0.16982243443390646,0.07802624275910398,-0.1209631867282055,-0.21664651004170493,-0.2743388828542384,0.1420362344938316,1.0,-0.31855689017858296
precipMM,0.06098749274283858,0.05098674520491317,-0.2997063928344664,0.14873004893808037,0.1785179041011304,-0.22384041574807143,0.09018383936410641,0.4608958495478434,0.40737111421941813,-0.24470186938347593,-0.31855689017858296,1.0
