,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.19392019006642566,-0.010967812219003042,-0.05137882880419953,0.02924721730391844,0.00396671829264572,-0.008586560129191269,0.01861723231144378,0.022952995990917203,,-0.0002424717057114993,-0.023567762726688382
statusS,0.19392019006642566,1.0,-0.008730189874289852,-0.1009391175064092,0.028247436208510515,0.033178320557598506,-0.01270494011192434,-0.013123238701810421,-0.014258824809554115,,-0.045033664045617386,-0.0669939466306991
temperatureC,-0.010967812219003042,-0.008730189874289852,1.0,0.5022507076646964,0.5185960249321491,-0.525469769448101,-0.21337516625751488,-0.1857505024972919,-0.030082629041770895,,0.5265198913721848,-0.13319937582025274
dewpointC,-0.05137882880419953,-0.1009391175064092,0.5022507076646964,1.0,0.1177136335105833,-0.5685240144432882,-0.07676587513773385,0.10884070110291522,0.1569513581607852,,0.11367688183877041,0.13099088821923557
windspeedKMH,0.02924721730391844,0.028247436208510515,0.5185960249321491,0.1177136335105833,1.0,-0.22948916456458374,-0.1476205214061695,0.04059670485968617,0.09789464897685611,,0.4313591823281465,0.045379152401320524
pressureMB,0.00396671829264572,0.033178320557598506,-0.525469769448101,-0.5685240144432882,-0.22948916456458374,1.0,0.24821289508570316,0.03138599770796437,-0.058108515966329294,,-0.04542362650259359,-0.09118248749284982
pressureTendencyMB,-0.008586560129191269,-0.01270494011192434,-0.21337516625751488,-0.07676587513773385,-0.1476205214061695,0.24821289508570316,1.0,-0.08126067513447481,-0.14257076249708944,,-0.15013100314454847,0.00012440591988452737
cloudCoverOKTA,0.01861723231144378,-0.013123238701810421,-0.1857505024972919,0.10884070110291522,0.04059670485968617,0.03138599770796437,-0.08126067513447481,1.0,0.7705502641555069,,-0.00974903451072012,0.30082581461378793
lowCloudCoverOKTA,0.022952995990917203,-0.014258824809554115,-0.030082629041770895,0.1569513581607852,0.09789464897685611,-0.058108515966329294,-0.14257076249708944,0.7705502641555069,1.0,,0.02955552579006795,0.2819439746034262
HKm,,,,,,,,,,,,
visibilityKM,-0.0002424717057114993,-0.045033664045617386,0.5265198913721848,0.11367688183877041,0.4313591823281465,-0.04542362650259359,-0.15013100314454847,-0.00974903451072012,0.02955552579006795,,1.0,-0.08791833076074972
precipMM,-0.023567762726688382,-0.0669939466306991,-0.13319937582025274,0.13099088821923557,0.045379152401320524,-0.09118248749284982,0.00012440591988452737,0.30082581461378793,0.2819439746034262,,-0.08791833076074972,1.0
