,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.11150104234940518,0.14322593313416687,0.05164574188924128,0.0985435923050849,0.0038408746006813035,0.03874145137752497,-0.03804727933768762,-0.00772644762172451,,0.060717024727766127,0.003579602020916068
statusS,0.11150104234940518,1.0,0.16547291401341901,0.1859322483319503,0.09175171318361833,-0.023704027599637276,0.04415377150674453,0.030461860580203937,0.016751397516379437,,0.16516829092250682,0.07915095521824414
temperatureC,0.14322593313416687,0.16547291401341901,1.0,0.5023233311499585,0.5186083397174118,-0.5254300566460492,-0.21342016569029965,-0.1856606239085638,-0.02997354646083731,,0.5265132323788444,-0.133003132700771
dewpointC,0.05164574188924128,0.1859322483319503,0.5023233311499585,1.0,0.11771902402339188,-0.5686233172372503,-0.07675027262137611,0.10878290877154646,0.15689785505601755,,0.11369714908463732,0.13089200764150147
windspeedKMH,0.0985435923050849,0.09175171318361833,0.5186083397174118,0.11771902402339188,1.0,-0.22949449238575198,-0.1476231855069585,0.04061046009020956,0.09791190233830863,,0.4313562427220879,0.045423470966455076
pressureMB,0.0038408746006813035,-0.023704027599637276,-0.5254300566460492,-0.5686233172372503,-0.22949449238575198,1.0,0.24826553831804649,0.03125968035808694,-0.058245668596180196,,-0.0453961685413019,-0.09152852949356433
pressureTendencyMB,0.03874145137752497,0.04415377150674453,-0.21342016569029965,-0.07675027262137611,-0.1476231855069585,0.24826553831804649,1.0,-0.08122710778514412,-0.14254180226963203,,-0.15014887018244796,0.00022011542334933362
cloudCoverOKTA,-0.03804727933768762,0.030461860580203937,-0.1856606239085638,0.10878290877154646,0.04061046009020956,0.03125968035808694,-0.08122710778514412,1.0,0.7705159945664218,,-0.009711355459430405,0.30062093754479097
lowCloudCoverOKTA,-0.00772644762172451,0.016751397516379437,-0.02997354646083731,0.15689785505601755,0.09791190233830863,-0.058245668596180196,-0.14254180226963203,0.7705159945664218,1.0,,0.02959552713057996,0.2817361417895777
HKm,,,,,,,,,,,,
visibilityKM,0.060717024727766127,0.16516829092250682,0.5265132323788444,0.11369714908463732,0.4313562427220879,-0.0453961685413019,-0.15014887018244796,-0.009711355459430405,0.02959552713057996,,1.0,-0.08786773411059015
precipMM,0.003579602020916068,0.07915095521824414,-0.133003132700771,0.13089200764150147,0.045423470966455076,-0.09152852949356433,0.00022011542334933362,0.30062093754479097,0.2817361417895777,,-0.08786773411059015,1.0
