,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.5705590669593833,0.09138185869917216,0.08459087724228252,0.09904259950211423,-0.0906496869403604,0.09003288974836066,0.05302111781291969,0.059091369000140274,-0.004387575789874365,0.05204360876517155,0.021756604537869127
statusS,0.5705590669593833,1.0,0.10740241612546153,0.04641254584497513,0.16048278453611317,-0.07239306768338115,0.06907304457078711,0.10559933400861156,0.08225122705501728,0.031083986917223416,0.0994286340097489,0.07013804444165747
temperatureC,0.09138185869917216,0.10740241612546153,1.0,0.18832956304166518,0.33030698089791016,-0.05668113821505825,-0.17840746276561617,-0.2526417201632226,-0.1263190406464915,0.10270640986725109,0.57882330769727,-0.2998345191503248
dewpointC,0.08459087724228252,0.04641254584497513,0.18832956304166518,1.0,0.38149052186104526,-0.32044163158873074,0.0011546390234186408,0.15178460128110316,0.16979920830232212,-0.03187437180225253,-0.044741489018547284,0.14860255633028127
windspeedKMH,0.09904259950211423,0.16048278453611317,0.33030698089791016,0.38149052186104526,1.0,-0.4422638524899466,-0.08356078648751765,0.22624348074618023,0.2110118217298498,-0.06456917647790739,0.1699747254514606,0.17846032482649837
pressureMB,-0.0906496869403604,-0.07239306768338115,-0.05668113821505825,-0.32044163158873074,-0.4422638524899466,1.0,0.19150548129758974,-0.22516207027236265,-0.23049863136658025,0.05852521465779564,0.07772431210060549,-0.22373676634268577
pressureTendencyMB,0.09003288974836066,0.06907304457078711,-0.17840746276561617,0.0011546390234186408,-0.08356078648751765,0.19150548129758974,1.0,-0.0009946093213221475,-0.07546891729329883,-0.09394915557773045,-0.1212096311647871,0.09030340893806478
cloudCoverOKTA,0.05302111781291969,0.10559933400861156,-0.2526417201632226,0.15178460128110316,0.22624348074618023,-0.22516207027236265,-0.0009946093213221475,1.0,0.6818738509669571,-0.1875896421950979,-0.21665167629277204,0.4609124890177596
lowCloudCoverOKTA,0.059091369000140274,0.08225122705501728,-0.1263190406464915,0.16979920830232212,0.2110118217298498,-0.23049863136658025,-0.07546891729329883,0.6818738509669571,1.0,-0.07821737106259517,-0.2743313300806846,0.4073832935265591
HKm,-0.004387575789874365,0.031083986917223416,0.10270640986725109,-0.03187437180225253,-0.06456917647790739,0.05852521465779564,-0.09394915557773045,-0.1875896421950979,-0.07821737106259517,1.0,0.14200354609139892,-0.244686588062058
visibilityKM,0.05204360876517155,0.0994286340097489,0.57882330769727,-0.044741489018547284,0.1699747254514606,0.07772431210060549,-0.1212096311647871,-0.21665167629277204,-0.2743313300806846,0.14200354609139892,1.0,-0.31849381643929253
precipMM,0.021756604537869127,0.07013804444165747,-0.2998345191503248,0.14860255633028127,0.17846032482649837,-0.22373676634268577,0.09030340893806478,0.4609124890177596,0.4073832935265591,-0.244686588062058,-0.31849381643929253,1.0
