,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.03779567172218824,0.1026424298441087,-0.06108827781334717,0.05957506085440003,0.027505178709348092,-0.02209320809484731,-0.05764908741081798,-0.01948255290482243,0.029714347774167153,0.026474640796721842,-0.05221982757312593
statusS,0.03779567172218824,1.0,0.22930159519707083,0.18295528683115922,0.22457955219706846,-0.1927421211210912,0.0359773381190589,0.07338024457668914,0.07319486043268279,-0.04091043392940164,0.23913281929651709,0.12214518148009329
temperatureC,0.1026424298441087,0.22930159519707083,1.0,0.374693225428813,0.5645680033296258,-0.4985605162555933,0.0014547703413440047,-0.08286534403042403,0.04121361810109186,0.009654791791307652,0.6020620718649208,-0.007954617800217468
dewpointC,-0.06108827781334717,0.18295528683115922,0.374693225428813,1.0,0.25254693679024537,-0.6994012233037541,0.007205810408342694,0.3003618357871151,0.2811406020840551,-0.11221840821448767,0.006038597935180819,0.24898439882065712
windspeedKMH,0.05957506085440003,0.22457955219706846,0.5645680033296258,0.25254693679024537,1.0,-0.3971584453339032,0.05903243461236141,0.10540039559097994,0.1348522017847856,-0.01492635079713706,0.4591607182460155,0.15941206692293622
pressureMB,0.027505178709348092,-0.1927421211210912,-0.4985605162555933,-0.6994012233037541,-0.3971584453339032,1.0,0.07098495325340481,-0.24508849490047827,-0.2608292731076925,0.10729155169368135,-0.18119760166898433,-0.23108229797863486
pressureTendencyMB,-0.02209320809484731,0.0359773381190589,0.0014547703413440047,0.007205810408342694,0.05903243461236141,0.07098495325340481,1.0,0.038885187742424394,0.003250618557656726,-0.0781419220344271,-0.04057274001670117,0.06424446700183759
cloudCoverOKTA,-0.05764908741081798,0.07338024457668914,-0.08286534403042403,0.3003618357871151,0.10540039559097994,-0.24508849490047827,0.038885187742424394,1.0,0.7562195506235923,-0.1764787756370885,-0.021681132033381796,0.39396817865527184
lowCloudCoverOKTA,-0.01948255290482243,0.07319486043268279,0.04121361810109186,0.2811406020840551,0.1348522017847856,-0.2608292731076925,0.003250618557656726,0.7562195506235923,1.0,-0.08214014454773477,-0.019511746314500773,0.3422703361436527
HKm,0.029714347774167153,-0.04091043392940164,0.009654791791307652,-0.11221840821448767,-0.01492635079713706,0.10729155169368135,-0.0781419220344271,-0.1764787756370885,-0.08214014454773477,1.0,0.10179319379788086,-0.2831055577404646
visibilityKM,0.026474640796721842,0.23913281929651709,0.6020620718649208,0.006038597935180819,0.4591607182460155,-0.18119760166898433,-0.04057274001670117,-0.021681132033381796,-0.019511746314500773,0.10179319379788086,1.0,-0.08659015300399724
precipMM,-0.05221982757312593,0.12214518148009329,-0.007954617800217468,0.24898439882065712,0.15941206692293622,-0.23108229797863486,0.06424446700183759,0.39396817865527184,0.3422703361436527,-0.2831055577404646,-0.08659015300399724,1.0
