,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.22843531859272148,0.12820462943300587,0.14796229878937242,0.051078304994974934,-0.1308629366466152,0.15612894844794872,-0.07077233315250371,-0.005293964240000401,-0.04660317433048449,-0.05687698835537539,0.01450097874327358
statusS,0.22843531859272148,1.0,-0.05267758053859572,-0.008885808954835654,-0.02645415596748757,0.05183397005096445,0.007721924691814563,-0.048579475416621186,-0.05695669828862712,0.003670580123575638,-0.07719255791433444,-0.03464398001397052
temperatureC,0.12820462943300587,-0.05267758053859572,1.0,0.37358248939709676,0.5636715365078545,-0.4968171231057635,-0.00046792541651343556,-0.0856149247303063,0.03802047721598461,0.010014182156207332,0.6013177981128511,-0.008713184592793648
dewpointC,0.14796229878937242,-0.008885808954835654,0.37358248939709676,1.0,0.2519391766000416,-0.6990632871249408,0.006309480308428887,0.29955358991320274,0.2801613662887132,-0.11207550015797209,0.0048845994306047635,0.24876144061635347
windspeedKMH,0.051078304994974934,-0.02645415596748757,0.5636715365078545,0.2519391766000416,1.0,-0.39592501697240357,0.057630578960999344,0.10351213725982221,0.13254207732877543,-0.014689612522741518,0.45831441850603183,0.15899333284532724
pressureMB,-0.1308629366466152,0.05183397005096445,-0.4968171231057635,-0.6990632871249408,-0.39592501697240357,1.0,0.07304421410031843,-0.24333859436503474,-0.25843739596547477,0.1071374241537482,-0.17947947400561345,-0.23078242982277086
pressureTendencyMB,0.15612894844794872,0.007721924691814563,-0.00046792541651343556,0.006309480308428887,0.057630578960999344,0.07304421410031843,1.0,0.037318284580497706,0.0010336880908728252,-0.07799955908122977,-0.041997309512546106,0.06384078476981073
cloudCoverOKTA,-0.07077233315250371,-0.048579475416621186,-0.0856149247303063,0.29955358991320274,0.10351213725982221,-0.24333859436503474,0.037318284580497706,1.0,0.7556936498061197,-0.17647791490864356,-0.023607410663459238,0.39401627088663504
lowCloudCoverOKTA,-0.005293964240000401,-0.05695669828862712,0.03802047721598461,0.2801613662887132,0.13254207732877543,-0.25843739596547477,0.0010336880908728252,0.7556936498061197,1.0,-0.08195393906242492,-0.021893211391267303,0.3422034848125602
HKm,-0.04660317433048449,0.003670580123575638,0.010014182156207332,-0.11207550015797209,-0.014689612522741518,0.1071374241537482,-0.07799955908122977,-0.17647791490864356,-0.08195393906242492,1.0,0.10211715498182439,-0.2830565852926649
visibilityKM,-0.05687698835537539,-0.07719255791433444,0.6013177981128511,0.0048845994306047635,0.45831441850603183,-0.17947947400561345,-0.041997309512546106,-0.023607410663459238,-0.021893211391267303,0.10211715498182439,1.0,-0.08723731661746936
precipMM,0.01450097874327358,-0.03464398001397052,-0.008713184592793648,0.24876144061635347,0.15899333284532724,-0.23078242982277086,0.06384078476981073,0.39401627088663504,0.3422034848125602,-0.2830565852926649,-0.08723731661746936,1.0
