,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.09791042394542372,-0.09952198065186121,-0.060713460460194685,-0.05291559345824733,-0.009151439279251548,0.034348511581610654,0.01314904608215362,-0.016288822318371074,-0.021758982975131822,-0.12622104080259078,-0.023290640067854033
statusS,0.09791042394542372,1.0,-0.027323921216418193,-0.15816178084797575,0.011938425868512879,0.07260185031117246,-0.03087789888866438,-0.08222624083762506,-0.026300546534592732,0.09457176040271616,-0.05636944529263217,-0.08495143067553373
temperatureC,-0.09952198065186121,-0.027323921216418193,1.0,0.37440805378688763,0.5643426695413204,-0.49812738600082934,0.0011041931573814807,-0.08349149958781642,0.04041222449130631,0.009746852934588998,0.6018767589107948,-0.00814475588933233
dewpointC,-0.060713460460194685,-0.15816178084797575,0.37440805378688763,1.0,0.25238860022131177,-0.6993078100343479,0.007051676844057882,0.3001681378546256,0.28088855396403467,-0.11218256400602142,0.005742158909567064,0.2489268448315414
windspeedKMH,-0.05291559345824733,0.011938425868512879,0.5643426695413204,0.25238860022131177,1.0,-0.39685534111204296,0.058780380811641754,0.10497702496384405,0.134275974981405,-0.014867264841908557,0.4589496675421512,0.159307575947999
pressureMB,-0.009151439279251548,0.07260185031117246,-0.49812738600082934,-0.6993078100343479,-0.39685534111204296,1.0,0.07135503607518089,-0.24470811332014064,-0.26023798914972057,0.10725309969879179,-0.1807725217679602,-0.2310074946026036
pressureTendencyMB,0.034348511581610654,-0.03087789888866438,0.0011041931573814807,0.007051676844057882,0.058780380811641754,0.07135503607518089,1.0,0.03863537242180441,0.0028499540860819498,-0.07811104333638011,-0.040835558235021954,0.06417296895824684
cloudCoverOKTA,0.01314904608215362,-0.08222624083762506,-0.08349149958781642,0.3001681378546256,0.10497702496384405,-0.24470811332014064,0.03863537242180441,1.0,0.7561114700132908,-0.17647886222314563,-0.022118355897107412,0.3939808565509754
lowCloudCoverOKTA,-0.016288822318371074,-0.026300546534592732,0.04041222449130631,0.28088855396403467,0.134275974981405,-0.26023798914972057,0.0028499540860819498,0.7561114700132908,1.0,-0.08209367877826776,-0.020105828934653104,0.34225368661649164
HKm,-0.021758982975131822,0.09457176040271616,0.009746852934588998,-0.11218256400602142,-0.014867264841908557,0.10725309969879179,-0.07811104333638011,-0.17647886222314563,-0.08209367877826776,1.0,0.10187405301255742,-0.28309332900124207
visibilityKM,-0.12622104080259078,-0.05636944529263217,0.6018767589107948,0.005742158909567064,0.4589496675421512,-0.1807725217679602,-0.040835558235021954,-0.022118355897107412,-0.020105828934653104,0.10187405301255742,1.0,-0.08675167887353573
precipMM,-0.023290640067854033,-0.08495143067553373,-0.00814475588933233,0.2489268448315414,0.159307575947999,-0.2310074946026036,0.06417296895824684,0.3939808565509754,0.34225368661649164,-0.28309332900124207,-0.08675167887353573,1.0
