,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
statusN,1.0,0.22195355594489333,0.16889328459976075,0.01920100753117575,0.17889627462996058,-0.045347451223657596,-0.04686862279227597,-0.045212716742333,-0.0685649993820681,0.062164682960120676,0.1414941840112085,-0.004396927412953592
statusS,0.22195355594489333,1.0,-0.049130707088895754,0.1764351883226742,-0.08468875890122644,-0.10755911445627894,0.05020841855707933,0.044568628173708325,-0.021015291341698945,-0.022046057069041267,-0.17940783284240053,0.09135631492583356
temperatureC,0.16889328459976075,-0.049130707088895754,1.0,0.3742627767452492,0.5642296320296362,-0.49791026951875383,0.0008538813042680809,-0.08381930875150417,0.04000984275926542,0.009793111187423783,0.6017839930983323,-0.008240001954479036
dewpointC,0.01920100753117575,0.1764351883226742,0.3742627767452492,1.0,0.25230719851743383,-0.6992590754769313,0.0069297162870271675,0.3000652852366803,0.2807573255146876,-0.11216462285582192,0.005591397366833636,0.24889794700936496
windspeedKMH,0.17889627462996058,-0.08468875890122644,0.5642296320296362,0.25230719851743383,1.0,-0.39670360043740716,0.058599516369478195,0.10475522116340899,0.13398753600158667,-0.014837697241502325,0.4588440113595106,0.15925528239022438
pressureMB,-0.045347451223657596,-0.10755911445627894,-0.49791026951875383,-0.6992590754769313,-0.39670360043740716,1.0,0.07161780855485687,-0.24450764477513992,-0.25994201156395025,0.10723385375586397,-0.18055974588876375,-0.2309700520561091
pressureTendencyMB,-0.04686862279227597,0.05020841855707933,0.0008538813042680809,0.0069297162870271675,0.058599516369478195,0.07161780855485687,1.0,0.03844772040078715,0.0025648373916624845,-0.07809331335003933,-0.04101796024127431,0.0641195889197366
cloudCoverOKTA,-0.045212716742333,0.044568628173708325,-0.08381930875150417,0.3000652852366803,0.10475522116340899,-0.24450764477513992,0.03844772040078715,1.0,0.7560519025800806,-0.176478899955783,-0.022346463259490242,0.39398718780665126
lowCloudCoverOKTA,-0.0685649993820681,-0.021015291341698945,0.04000984275926542,0.2807573255146876,0.13398753600158667,-0.25994201156395025,0.0025648373916624845,0.7560519025800806,1.0,-0.08207042452275361,-0.020403190644422347,0.3422453460593732
HKm,0.062164682960120676,-0.022046057069041267,0.009793111187423783,-0.11216462285582192,-0.014837697241502325,0.10723385375586397,-0.07809331335003933,-0.176478899955783,-0.08207042452275361,1.0,0.10191451534532421,-0.2830872110419599
visibilityKM,0.1414941840112085,-0.17940783284240053,0.6017839930983323,0.005591397366833636,0.4588440113595106,-0.18055974588876375,-0.04101796024127431,-0.022346463259490242,-0.020403190644422347,0.10191451534532421,1.0,-0.08683250797542165
precipMM,-0.004396927412953592,0.09135631492583356,-0.008240001954479036,0.24889794700936496,0.15925528239022438,-0.2309700520561091,0.0641195889197366,0.39398718780665126,0.3422453460593732,-0.2830872110419599,-0.08683250797542165,1.0
