,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.2626804789636072,-0.2791937451802233,-0.14038396258247415,-0.17112950919308859,-0.002495052000117612,0.3040649809459864,-0.01690614274534168,-0.0691187715083352,0.04990767970787443,-0.24277017060929704,0.010976111662209291,-0.2792483806267534,-0.0919923303860169,-0.24277213696495567
statusS,0.2626804789636072,1.0,-0.07869046832192063,-0.08065175647757399,0.03704948513432416,-0.057719653996464594,0.0992184494551151,0.05986512400444694,0.026650583074270633,0.042934809075616066,-0.0544581194008047,0.021717594465146924,-0.07865547937466086,-0.08161889710047585,-0.054442105689131666
tempC,-0.2791937451802233,-0.07869046832192063,1.0,0.04033353124791944,0.5126306037032567,0.12657127494229833,-0.8131794975050552,-0.019227849680046098,-0.3203332326212187,-0.12566099201225892,0.9661703104492333,0.31101064332577144,0.9999226182298531,-0.09601542969473548,0.966171763411912
windspeedKmph,-0.14038396258247415,-0.08065175647757399,0.04033353124791944,1.0,0.02914117659426519,0.04544205146288468,-0.22691998798401847,-0.0786341612025549,0.10633717209780798,0.03575144438793365,-0.035313352582225226,-0.3324972293287351,0.04087369136087549,0.9661913174087179,-0.035304098604268586
cond,-0.17112950919308859,0.03704948513432416,0.5126306037032567,0.02914117659426519,1.0,0.0942761668633941,-0.47439335396138216,-0.092321093307041,-0.1291257444051552,-0.004109656990140082,0.49575155289944484,0.09423937390311567,0.5127294156747356,-0.042614473596461436,0.49575757394951253
precipMM,-0.002495052000117612,-0.057719653996464594,0.12657127494229833,0.04544205146288468,0.0942761668633941,1.0,0.18065678870789087,-0.7367988453318789,-0.5593653957047747,0.5356205400601266,0.22751512275787977,0.5222741814030196,0.1266700051785357,0.1142159945533863,0.22752680963933092
humidity,0.3040649809459864,0.0992184494551151,-0.8131794975050552,-0.22691998798401847,-0.47439335396138216,0.18065678870789087,1.0,-0.23689815375134426,-0.06316607503638627,0.26023748527619806,-0.688935952511777,0.2120134648417633,-0.8132798423430678,-0.077295038437547,-0.6889369304838998
visibility,-0.01690614274534168,0.05986512400444694,-0.019227849680046098,-0.0786341612025549,-0.092321093307041,-0.7367988453318789,-0.23689815375134426,1.0,0.4207530748043863,-0.419712600197493,-0.11085742328421462,-0.4060936937763918,-0.019361480938289048,-0.1534516898956473,-0.11083463465497762
pressure,-0.0691187715083352,0.026650583074270633,-0.3203332326212187,0.10633717209780798,-0.1291257444051552,-0.5593653957047747,-0.06316607503638627,0.4207530748043863,1.0,-0.3128118292639399,-0.43667088208711935,-0.6438724334992945,-0.3202412904129152,0.09049792810347562,-0.4366623965168192
cloudcover,0.04990767970787443,0.042934809075616066,-0.12566099201225892,0.03575144438793365,-0.004109656990140082,0.5356205400601266,0.26023748527619806,-0.419712600197493,-0.3128118292639399,1.0,-0.04959430875308044,0.23029632811690443,-0.12530927336189313,0.1249069094695492,-0.04959403248679764
heatIndexC,-0.24277017060929704,-0.0544581194008047,0.9661703104492333,-0.035313352582225226,0.49575155289944484,0.22751512275787977,-0.688935952511777,-0.11085742328421462,-0.43667088208711935,-0.04959430875308044,1.0,0.5027562774566221,0.9661474773907055,-0.15821634675297166,0.9999989170231544
dewPointC,0.010976111662209291,0.021717594465146924,0.31101064332577144,-0.3324972293287351,0.09423937390311567,0.5222741814030196,0.2120134648417633,-0.4060936937763918,-0.6438724334992945,0.23029632811690443,0.5027562774566221,1.0,0.3109549457987557,-0.3290963539627053,0.5027548747672725
windChillC,-0.2792483806267534,-0.07865547937466086,0.9999226182298531,0.04087369136087549,0.5127294156747356,0.1266700051785357,-0.8132798423430678,-0.019361480938289048,-0.3202412904129152,-0.12530927336189313,0.9661474773907055,0.3109549457987557,1.0,-0.09554716565627,0.9661489300657118
windGustKmph,-0.0919923303860169,-0.08161889710047585,-0.09601542969473548,0.9661913174087179,-0.042614473596461436,0.1142159945533863,-0.077295038437547,-0.1534516898956473,0.09049792810347562,0.1249069094695492,-0.15821634675297166,-0.3290963539627053,-0.09554716565627,1.0,-0.1582125454272818
feelsLikeC,-0.24277213696495567,-0.054442105689131666,0.966171763411912,-0.035304098604268586,0.49575757394951253,0.22752680963933092,-0.6889369304838998,-0.11083463465497762,-0.4366623965168192,-0.04959403248679764,0.9999989170231544,0.5027548747672725,0.9661489300657118,-0.1582125454272818,1.0
