,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.5648179400301835,-0.08222141377644313,0.02444894125478256,-0.01229877282221275,-0.06850001438042455,0.015564033660633856,0.041401802969218165,0.11190299667070473,-0.03817994030491935,-0.1033564160010211,-0.1441966001448103,-0.08204031398099507,0.021473462928589596,-0.10334983649183821
statusS,0.5648179400301835,1.0,-0.061052581647960215,0.024126845110473947,0.0008355034562775273,-0.05740452270417303,0.012405101699365094,0.05770523494138451,0.06622985750048686,-0.01674629662077773,-0.07770802923994868,-0.12048635961630876,-0.06099571207536447,0.01890100784033996,-0.07770938110979589
tempC,-0.08222141377644313,-0.061052581647960215,1.0,0.04039027142840878,0.5126376617858763,0.12668150280829946,-0.8131961887014156,-0.019314405714521227,-0.32025999365839314,-0.12561839173208786,0.9661674690466222,0.3109681792038521,0.9999226157797068,-0.09593247427249207,0.9661689222604974
windspeedKmph,0.02444894125478256,0.024126845110473947,0.04039027142840878,1.0,0.0291538527650176,0.04535238486630817,-0.22694564300823286,-0.07856288534945126,0.10627038826702444,0.035705874415509126,-0.03525099193136001,-0.33247359287634504,0.04093045431939505,0.9661952611760184,-0.03524173764891631
cond,-0.01229877282221275,0.0008355034562775273,0.5126376617858763,0.0291538527650176,1.0,0.09432363670959085,-0.47439239936176864,-0.09235833577560623,-0.12911603231663163,-0.004095629335655953,0.49576192292073923,0.09423979381037641,0.5127364878740254,-0.042591275311401174,0.4957679444598781
precipMM,-0.06850001438042455,-0.05740452270417303,0.12668150280829946,0.04535238486630817,0.09432363670959085,1.0,0.180619395810946,-0.7367501333825625,-0.55957430318763,0.5355942468557462,0.22765944209735298,0.5223820368921773,0.12678022983457035,0.11408027845360799,0.22767113122447755
humidity,0.015564033660633856,0.012405101699365094,-0.8131961887014156,-0.22694564300823286,-0.47439239936176864,0.180619395810946,1.0,-0.23687946184449382,-0.06320776236513304,0.2602218349455217,-0.6889494056668649,0.21203707919838022,-0.8132965509832345,-0.07734187860598567,-0.6889503844639612
visibility,0.041401802969218165,0.05770523494138451,-0.019314405714521227,-0.07856288534945126,-0.09235833577560623,-0.7367501333825625,-0.23687946184449382,1.0,0.4209340050021583,-0.4196836518204153,-0.11097541621871726,-0.4061893979336424,-0.019448091629934928,-0.15334211552854612,-0.11095262373511187
pressure,0.11190299667070473,0.06622985750048686,-0.32025999365839314,0.10627038826702444,-0.12911603231663163,-0.55957430318763,-0.06320776236513304,0.4209340050021583,1.0,-0.31290311082376565,-0.43659674177332763,-0.6438587012872801,-0.32016794192572007,0.09039688615677642,-0.43658825519885
cloudcover,-0.03817994030491935,-0.01674629662077773,-0.12561839173208786,0.035705874415509126,-0.004095629335655953,0.5355942468557462,0.2602218349455217,-0.4196836518204153,-0.31290311082376565,1.0,-0.049538253423979536,0.2303368367671209,-0.1252666769312371,0.12483889284941088,-0.04953797847457173
heatIndexC,-0.1033564160010211,-0.07770802923994868,0.9661674690466222,-0.03525099193136001,0.49576192292073923,0.22765944209735298,-0.6889494056668649,-0.11097541621871726,-0.43659674177332763,-0.049538253423979536,1.0,0.5027267895216785,0.9661446200728449,-0.15812672088505822,0.9999989168375966
dewPointC,-0.1441966001448103,-0.12048635961630876,0.3109681792038521,-0.33247359287634504,0.09423979381037641,0.5223820368921773,0.21203707919838022,-0.4061893979336424,-0.6438587012872801,0.2303368367671209,0.5027267895216785,1.0,0.3109124583010845,-0.32907083511767893,0.5027253866116402
windChillC,-0.08204031398099507,-0.06099571207536447,0.9999226157797068,0.04093045431939505,0.5127364878740254,0.12678022983457035,-0.8132965509832345,-0.019448091629934928,-0.32016794192572007,-0.1252666769312371,0.9661446200728449,0.3109124583010845,1.0,-0.0954641694634457,0.9661460729990092
windGustKmph,0.021473462928589596,0.01890100784033996,-0.09593247427249207,0.9661952611760184,-0.042591275311401174,0.11408027845360799,-0.07734187860598567,-0.15334211552854612,0.09039688615677642,0.12483889284941088,-0.15812672088505822,-0.32907083511767893,-0.0954641694634457,1.0,-0.1581229199336972
feelsLikeC,-0.10334983649183821,-0.07770938110979589,0.9661689222604974,-0.03524173764891631,0.4957679444598781,0.22767113122447755,-0.6889503844639612,-0.11095262373511187,-0.43658825519885,-0.04953797847457173,0.9999989168375966,0.5027253866116402,0.9661460729990092,-0.1581229199336972,1.0
