,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.08744340472575973,-0.06407120698663535,-0.014174410118804043,-0.021308764153563572,-0.055700893728346614,0.02000560951316069,0.06556607452925987,0.049935574066281886,-0.02379210433161328,-0.07988950941857553,-0.08114243764476264,-0.06402180780830523,-0.015358034325446223,-0.07987820024004517
statusS,0.08744340472575973,1.0,-0.05709890436828909,0.007370308664813193,-0.01489028096340414,-0.07329922456964053,0.0039991713205797955,0.05767272487768926,0.06323602955394014,0.027201757727002188,-0.07464572386248366,-0.10591109592278504,-0.057037122222904614,0.0006215997751170813,-0.0746607509053495
tempC,-0.06407120698663535,-0.05709890436828909,1.0,0.040416790551825274,0.5126411912042519,0.12673037931021056,-0.8132049352164971,-0.019357697473876112,-0.3202231631886316,-0.12559887506635659,0.9661660466848057,0.3109469412733568,0.999922614551533,-0.09589308494845121,0.966167500024302
windspeedKmph,-0.014174410118804043,0.007370308664813193,0.040416790551825274,1.0,0.02915985715491424,0.04531480892033419,-0.22695628977444612,-0.07852959962388696,0.10623876095625255,0.03568608934148259,-0.03522186739365243,-0.33246226555834474,0.04095698276537805,0.966197301548286,-0.035212613033407725
cond,-0.021308764153563572,-0.01489028096340414,0.5126411912042519,0.02915985715491424,1.0,0.09434543706754354,-0.4743918081918079,-0.09237690754936387,-0.1291111869298352,-0.004089306044206649,0.4957671240037819,0.09424000308586059,0.5127400243687165,-0.0425806156793074,0.4957731457874639
precipMM,-0.055700893728346614,-0.07329922456964053,0.12673037931021056,0.04531480892033419,0.09434543706754354,1.0,0.18060331429014273,-0.7367279446658451,-0.5596687024931988,0.5355831186980567,0.22772380970824113,0.5224292459339178,0.12682910185938906,0.11402187975410122,0.22773549996401832
humidity,0.02000560951316069,0.0039991713205797955,-0.8132049352164971,-0.22695628977444612,-0.4743918081918079,0.18060331429014273,1.0,-0.23687124739531024,-0.06322774707765362,0.26021525002748613,-0.6889567426713882,0.21204833391184097,-0.8133053065929715,-0.07736235820883591,-0.6889577219108479
visibility,0.06556607452925987,0.05767272487768926,-0.019357697473876112,-0.07852959962388696,-0.09237690754936387,-0.7367279446658451,-0.23687124739531024,1.0,0.42102500470000703,-0.41967121650076583,-0.11103442750087243,-0.40623726465527354,-0.01949141071785955,-0.15329007293603383,-0.11101163308951636
pressure,0.049935574066281886,0.06323602955394014,-0.3202231631886316,0.10623876095625255,-0.1291111869298352,-0.5596687024931988,-0.06322774707765362,0.42102500470000703,1.0,-0.3129463441929692,-0.43655946105509147,-0.6438518963642474,-0.3201310565069345,0.09034800739413922,-0.43655097395132714
cloudcover,-0.02379210433161328,0.027201757727002188,-0.12559887506635659,0.03568608934148259,-0.004089306044206649,0.5355831186980567,0.26021525002748613,-0.41967121650076583,-0.3129463441929692,1.0,-0.04951241784595172,0.23035582988478878,-0.12524716184510634,0.12480887502495067,-0.04951214368893888
heatIndexC,-0.07988950941857553,-0.07464572386248366,0.9661660466848057,-0.03522186739365243,0.4957671240037819,0.22772380970824113,-0.6889567426713882,-0.11103442750087243,-0.43655946105509147,-0.04951241784595172,1.0,0.5027120383423282,0.9661431897532019,-0.15808408916013408,0.9999989167448018
dewPointC,-0.08114243764476264,-0.10591109592278504,0.3109469412733568,-0.33246226555834474,0.09424000308586059,0.5224292459339178,0.21204833391184097,-0.40623726465527354,-0.6438518963642474,0.23035582988478878,0.5027120383423282,1.0,0.31089120868249365,-0.3290579992925862,0.5027106353219326
windChillC,-0.06402180780830523,-0.057037122222904614,0.999922614551533,0.04095698276537805,0.5127400243687165,0.12682910185938906,-0.8133053065929715,-0.01949141071785955,-0.3201310565069345,-0.12524716184510634,0.9661431897532019,0.31089120868249365,1.0,-0.0954247606943437,0.9661446428049684
windGustKmph,-0.015358034325446223,0.0006215997751170813,-0.09589308494845121,0.966197301548286,-0.0425806156793074,0.11402187975410122,-0.07736235820883591,-0.15329007293603383,0.09034800739413922,0.12480887502495067,-0.15808408916013408,-0.3290579992925862,-0.0954247606943437,1.0,-0.15808028842348507
feelsLikeC,-0.07987820024004517,-0.0746607509053495,0.966167500024302,-0.035212613033407725,0.4957731457874639,0.22773549996401832,-0.6889577219108479,-0.11101163308951636,-0.43655097395132714,-0.04951214368893888,0.9999989167448018,0.5027106353219326,0.9661446428049684,-0.15808028842348507,1.0
