,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.5728545290438395,-0.2362659184240208,-0.06531954364233493,-0.08004557552088304,0.002378965718241756,0.2231349226379108,-0.017829054864577046,0.00817199210198668,0.14785261923755014,-0.21010847817725953,-0.01386140224579496,-0.236470395626429,-0.029324734981857753,-0.2101014996677003
statusS,0.5728545290438395,1.0,-0.243725443863679,-0.0863813956238765,-0.16028215552052366,0.012939833653456264,0.26587166119031347,-0.028044782382913275,-0.01985777393941656,0.11768889033222166,-0.20679799898064324,0.03706309631123754,-0.24395094977255047,-0.039848383518622646,-0.20679944673448203
tempC,-0.2362659184240208,-0.243725443863679,1.0,0.04044430205797459,0.5126538047849202,0.1267708154186489,-0.8132158875599296,-0.01933875222837813,-0.3201812970393742,-0.12557879130602967,0.9661640208695225,0.3109189186288462,0.9999226116791187,-0.09585158023107847,0.9661654743346135
windspeedKmph,-0.06531954364233493,-0.0863813956238765,0.04044430205797459,1.0,0.029157862819937586,0.04528858670679,-0.22696489242212556,-0.07854177562736218,0.10620887512974583,0.035668308840442926,-0.035194039031214014,-0.33244892069564724,0.04098450745291008,0.9661995429536828,-0.035184784515402086
cond,-0.08004557552088304,-0.16028215552052366,0.5126538047849202,0.029157862819937586,1.0,0.09434997898826733,-0.47439361283464215,-0.09237816231028147,-0.12911741370456264,-0.004082945638562301,0.49578210858641164,0.09424423116657009,0.5127526474438034,-0.04258229198143149,0.49578813053193965
precipMM,0.002378965718241756,0.012939833653456264,0.1267708154186489,0.04528858670679,0.09434997898826733,1.0,0.18059276130205784,-0.7367523380248312,-0.559746798350164,0.5355744641553241,0.22777521667699063,0.5224737775181311,0.1268695387389534,0.11397908585041293,0.22778690802270068
humidity,0.2231349226379108,0.26587166119031347,-0.8132158875599296,-0.22696489242212556,-0.47439361283464215,0.18059276130205784,1.0,-0.23687961165545415,-0.06324737064500162,0.26020968348546686,-0.6889650800702957,0.2120621676528726,-0.8133162579219849,-0.07738013332015174,-0.6889660597677015
visibility,-0.017829054864577046,-0.028044782382913275,-0.01933875222837813,-0.07854177562736218,-0.09237816231028147,-0.7367523380248312,-0.23687961165545415,1.0,0.4210198348378189,-0.41968462507271986,-0.11101687699144458,-0.4062330382836687,-0.019472458290131636,-0.15330819895832004,-0.11099408142668463
pressure,0.00817199210198668,-0.01985777393941656,-0.3201812970393742,0.10620887512974583,-0.12911741370456264,-0.559746798350164,-0.06324737064500162,0.4210198348378189,1.0,-0.3129898598160515,-0.4365205636091889,-0.6438405356117958,-0.3200891729434704,0.09029961834559651,-0.4365120761411222
cloudcover,0.14785261923755014,0.11768889033222166,-0.12557879130602967,0.035668308840442926,-0.004082945638562301,0.5355744641553241,0.26020968348546686,-0.41968462507271986,-0.3129898598160515,1.0,-0.04948692326947954,0.23037841408919943,-0.12522706995053667,0.1247815168342974,-0.04948664970129948
heatIndexC,-0.21010847817725953,-0.20679799898064324,0.9661640208695225,-0.035194039031214014,0.49578210858641164,0.22777521667699063,-0.6889650800702957,-0.11101687699144458,-0.4365205636091889,-0.04948692326947954,1.0,0.5026920757967783,0.9661411623485104,-0.15804213004377282,0.9999989166520729
dewPointC,-0.01386140224579496,0.03706309631123754,0.3109189186288462,-0.33244892069564724,0.09424423116657009,0.5224737775181311,0.2120621676528726,-0.4062330382836687,-0.6438405356117958,0.23037841408919943,0.5026920757967783,1.0,0.31086318386291206,-0.3290398228415706,0.5026906726337337
windChillC,-0.236470395626429,-0.24395094977255047,0.9999226116791187,0.04098450745291008,0.5127526474438034,0.1268695387389534,-0.8133162579219849,-0.019472458290131636,-0.3200891729434704,-0.12522706995053667,0.9661411623485104,0.31086318386291206,1.0,-0.09538323755698123,0.9661426155258526
windGustKmph,-0.029324734981857753,-0.039848383518622646,-0.09585158023107847,0.9661995429536828,-0.04258229198143149,0.11397908585041293,-0.07738013332015174,-0.15330819895832004,0.09029961834559651,0.1247815168342974,-0.15804213004377282,-0.3290398228415706,-0.09538323755698123,1.0,-0.15803832925449018
feelsLikeC,-0.2101014996677003,-0.20679944673448203,0.9661654743346135,-0.035184784515402086,0.49578813053193965,0.22778690802270068,-0.6889660597677015,-0.11099408142668463,-0.4365120761411222,-0.04948664970129948,0.9999989166520729,0.5026906726337337,0.9661426155258526,-0.15803832925449018,1.0
