,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.4281903301623125,-0.3158709799330131,-0.12171717305356658,-0.25247146903118617,-0.1154400166707907,0.2539071940575725,0.07163681730803402,0.04671570497888794,-0.030031946155549282,-0.3172867907705929,-0.12413312290418443,-0.3160809489240636,-0.09138352611446096,-0.31728690658024206
statusS,0.4281903301623125,1.0,-0.17494835147340798,-0.11664230751154588,-0.10213138323591262,-0.1754080645317012,0.10389735247537894,0.14201658156645136,0.08477192595547686,-0.13839989292307597,-0.1898464107556595,-0.16723460800710332,-0.17494228048061716,-0.11709697542793042,-0.18984534423796026
tempC,-0.3158709799330131,-0.17494835147340798,1.0,0.09538480834551921,0.5139177985436862,0.03232070438254233,-0.8597434759775956,0.03641810136465321,-0.11938581334758062,-0.11596316328375136,0.9565198639140493,0.14715943387804037,0.9999294508174743,-0.0320346683752574,0.9565198657716956
windspeedKmph,-0.12171717305356658,-0.11664230751154588,0.09538480834551921,1.0,-0.02667372631075463,0.15528568646144864,-0.19535889921030392,-0.158958444024147,-0.10831581860052591,0.08246963640406862,0.022859461109828356,-0.24948650479082157,0.0958014884482799,0.9692233059069476,0.022859349435464825
cond,-0.25247146903118617,-0.10213138323591262,0.5139177985436862,-0.02667372631075463,1.0,0.03975428311538123,-0.45099846974491636,-0.07591640834154774,-0.06987706080741306,-0.04530490235392153,0.5122944476656186,0.09963556058615719,0.5141701735773692,-0.09302154676921873,0.5122943134728544
precipMM,-0.1154400166707907,-0.1754080645317012,0.03232070438254233,0.15528568646144864,0.03975428311538123,1.0,0.2434008600104945,-0.7715809266736224,-0.5408475256433032,0.5910287081825787,0.14437528489882262,0.5016610300244996,0.032605943869166785,0.2421388112777844,0.14437528474425498
humidity,0.2539071940575725,0.10389735247537894,-0.8597434759775956,-0.19535889921030392,-0.45099846974491636,0.2434008600104945,1.0,-0.2639956150454801,-0.17456832634890931,0.2847771936476243,-0.7339687626643445,0.2813608918045895,-0.8596616834400637,-0.051109361882035076,-0.7339683180168319
visibility,0.07163681730803402,0.14201658156645136,0.03641810136465321,-0.158958444024147,-0.07591640834154774,-0.7715809266736224,-0.2639956150454801,1.0,0.41071867485704544,-0.4557007247508441,-0.06334498055996991,-0.4170456038778721,0.03607224329009663,-0.24279625686312092,-0.06334498049215301
pressure,0.04671570497888794,0.08477192595547686,-0.11938581334758062,-0.10831581860052591,-0.06987706080741306,-0.5408475256433032,-0.17456832634890931,0.41071867485704544,1.0,-0.44559202771524675,-0.24536049601151694,-0.5299786385033292,-0.11959336223301234,-0.13058021754037513,-0.24536075676727895
cloudcover,-0.030031946155549282,-0.13839989292307597,-0.11596316328375136,0.08246963640406862,-0.04530490235392153,0.5910287081825787,0.2847771936476243,-0.4557007247508441,-0.44559202771524675,1.0,-0.019400531677081095,0.31670946163925884,-0.11573511843135705,0.1635765466602112,-0.01940113789108748
heatIndexC,-0.3172867907705929,-0.1898464107556595,0.9565198639140493,0.022859461109828356,0.5122944476656186,0.14437528489882262,-0.7339687626643445,-0.06334498055996991,-0.24536049601151694,-0.019400531677081095,1.0,0.3807685330552313,0.9565680349560305,-0.09438268839340506,0.9999999989294038
dewPointC,-0.12413312290418443,-0.16723460800710332,0.14715943387804037,-0.24948650479082157,0.09963556058615719,0.5016610300244996,0.2813608918045895,-0.4170456038778721,-0.5299786385033292,0.31670946163925884,0.3807685330552313,1.0,0.1473123200864589,-0.2268665103313678,0.38076846093841726
windChillC,-0.3160809489240636,-0.17494228048061716,0.9999294508174743,0.0958014884482799,0.5141701735773692,0.032605943869166785,-0.8596616834400637,0.03607224329009663,-0.11959336223301234,-0.11573511843135705,0.9565680349560305,0.1473123200864589,1.0,-0.03164407188560963,0.9565680368136295
windGustKmph,-0.09138352611446096,-0.11709697542793042,-0.0320346683752574,0.9692233059069476,-0.09302154676921873,0.2421388112777844,-0.051109361882035076,-0.24279625686312092,-0.13058021754037513,0.1635765466602112,-0.09438268839340506,-0.2268665103313678,-0.03164407188560963,1.0,-0.09438268152791299
feelsLikeC,-0.31728690658024206,-0.18984534423796026,0.9565198657716956,0.022859349435464825,0.5122943134728544,0.14437528474425498,-0.7339683180168319,-0.06334498049215301,-0.24536075676727895,-0.01940113789108748,0.9999999989294038,0.38076846093841726,0.9565680368136295,-0.09438268152791299,1.0
