,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.6335709674267676,-0.2558993527545858,-0.10949924810962197,-0.12168344091578592,0.05169939709588471,0.2866561752569721,-0.06427978014302754,-0.029560416131115437,0.13370706365918053,-0.21093732004663154,0.06624474460842748,-0.25584857770728514,-0.07675687382336212,-0.2109375741616997
statusS,0.6335709674267676,1.0,-0.242586213086776,-0.13765741515010801,-0.18567432307522627,0.058355198864767074,0.2955643649787643,-0.061811819646007946,-0.06616091345029095,0.12248743577626311,-0.19288783548920543,0.10169426985982656,-0.24260407904121833,-0.09738002012903872,-0.1928879136764303
tempC,-0.2558993527545858,-0.242586213086776,1.0,0.09554016635733738,0.5140172581913824,0.03201636493534536,-0.8598383171076615,0.03663342687689174,-0.11892552266182439,-0.1157798730768805,0.9564948114308852,0.14681384925541638,0.9999294183240713,-0.03177976143408412,0.9564948132897427
windspeedKmph,-0.10949924810962197,-0.13765741515010801,0.09554016635733738,1.0,-0.026660932130287845,0.15540758723425507,-0.19540126838687868,-0.1590330554877519,-0.10851505499697442,0.08240448421902553,0.022992469548359235,-0.24939547414169136,0.09595693630660275,0.9692369956629969,0.022992357812736675
cond,-0.12168344091578592,-0.18567432307522627,0.5140172581913824,-0.026660932130287845,1.0,0.039746130244504914,-0.4510128172594645,-0.0759119142883359,-0.0698722828680203,-0.04523957588891244,0.5123966501261081,0.0996568355107657,0.5142697856965326,-0.09301408063826738,0.5123965157912073
precipMM,0.05169939709588471,0.058355198864767074,0.03201636493534536,0.15540758723425507,0.039746130244504914,1.0,0.2435452197564978,-0.7715849238775304,-0.5407404043540932,0.5912320771282609,0.14410435805668945,0.5015487859794927,0.03230158936631047,0.2423514776603458,0.14410435790231343
humidity,0.2866561752569721,0.2955643649787643,-0.8598383171076615,-0.19540126838687868,-0.4510128172594645,0.2435452197564978,1.0,-0.26408667342378306,-0.17477967842637782,0.2847118066836211,-0.734027064446788,0.2815382226370303,-0.8597565515256063,-0.051204545802344334,-0.7340266198229579
visibility,-0.06427978014302754,-0.061811819646007946,0.03663342687689174,-0.1590330554877519,-0.0759119142883359,-0.7715849238775304,-0.26408667342378306,1.0,0.4106490409165973,-0.45582853847336563,-0.0631537577716736,-0.4169804607611775,0.03628758073099895,-0.2429306083635797,-0.06315375770401829
pressure,-0.029560416131115437,-0.06616091345029095,-0.11892552266182439,-0.10851505499697442,-0.0698722828680203,-0.5407404043540932,-0.17477967842637782,0.4106490409165973,1.0,-0.4459286217676404,-0.2449461827064503,-0.5297508781423941,-0.11913296685439051,-0.1309026156037413,-0.24494644328308748
cloudcover,0.13370706365918053,0.12248743577626311,-0.1157798730768805,0.08240448421902553,-0.04523957588891244,0.5912320771282609,0.2847118066836211,-0.45582853847336563,-0.4459286217676404,1.0,-0.019191623802910535,0.3169263418834308,-0.11555181166850569,0.16345659397712867,-0.01919223051475157
heatIndexC,-0.21093732004663154,-0.19288783548920543,0.9564948114308852,0.022992469548359235,0.5123966501261081,0.14410435805668945,-0.734027064446788,-0.0631537577716736,-0.2449461827064503,-0.019191623802910535,1.0,0.38051884414249637,0.9565429921294333,-0.09415479452858569,0.9999999989287207
dewPointC,0.06624474460842748,0.10169426985982656,0.14681384925541638,-0.24939547414169136,0.0996568355107657,0.5015487859794927,0.2815382226370303,-0.4169804607611775,-0.5297508781423941,0.3169263418834308,0.38051884414249637,1.0,0.14696672606338065,-0.22669417365782576,0.3805187719793049
windChillC,-0.25584857770728514,-0.24260407904121833,0.9999294183240713,0.09595693630660275,0.5142697856965326,0.03230158936631047,-0.8597565515256063,0.03628758073099895,-0.11913296685439051,-0.11555181166850569,0.9565429921294333,0.14696672606338065,1.0,-0.03138907079229798,0.9565429939882435
windGustKmph,-0.07675687382336212,-0.09738002012903872,-0.03177976143408412,0.9692369956629969,-0.09301408063826738,0.2423514776603458,-0.051204545802344334,-0.2429306083635797,-0.1309026156037413,0.16345659397712867,-0.09415479452858569,-0.22669417365782576,-0.03138907079229798,1.0,-0.09415478765895606
feelsLikeC,-0.2109375741616997,-0.1928879136764303,0.9564948132897427,0.022992357812736675,0.5123965157912073,0.14410435790231343,-0.7340266198229579,-0.06315375770401829,-0.24494644328308748,-0.01919223051475157,0.9999999989287207,0.3805187719793049,0.9565429939882435,-0.09415478765895606,1.0
