,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.2533850350937942,-0.011936071377699566,-0.06720717890703887,-0.00182724212879078,0.017534642616749915,-0.011009184467497614,-0.010379636244322348,-0.05818107234737537,0.011551878866780621,-0.02644755643410783,-0.07873047088128676,-0.011829168009250813,-0.04669089991597403,-0.02644065019008803
statusS,0.2533850350937942,1.0,-0.16746692284103942,-0.16910930824550233,0.012791926028700058,0.03996966641558321,0.14887986580835785,-0.032025056006765765,-0.028322108174805672,0.13537071215812593,-0.15975578737529272,-0.049123407647051726,-0.16713990037176632,-0.1377073109416171,-0.15972866283772208
tempC,-0.011936071377699566,-0.16746692284103942,1.0,0.16817331788839604,0.5270304678353558,0.12155974858427358,-0.8685532274062919,0.02841807166467986,-0.4304012922361245,-0.1899141391905471,0.9796926368009484,0.2723464605350911,0.9999244830302596,-0.002648272465988743,0.9796999944024316
windspeedKmph,-0.06720717890703887,-0.16910930824550233,0.16817331788839604,1.0,0.17218118166260807,0.010899019180834173,-0.34397729148718864,-0.01807148971705107,0.1540372909514334,-0.04259072493292193,0.10839665173298972,-0.28926324683905313,0.16852752400344045,0.9591564539973312,0.10843101100317526
cond,-0.00182724212879078,0.012791926028700058,0.5270304678353558,0.17218118166260807,1.0,0.12335586190385711,-0.5603423149309181,-0.08362367713675238,-0.1348948994987349,0.04668380404228583,0.5077845819946929,-0.013610033466572817,0.5270520084992582,0.08613200987512393,0.5078007523036757
precipMM,0.017534642616749915,0.03996966641558321,0.12155974858427358,0.010899019180834173,0.12335586190385711,1.0,-0.007342763830999091,-0.5688496962030879,-0.31750262514423255,0.3985551028419557,0.15115757720272116,0.27730755019284625,0.12150936909792923,0.03623320598877225,0.15121150778605094
humidity,-0.011009184467497614,0.14887986580835785,-0.8685532274062919,-0.34397729148718864,-0.5603423149309181,-0.007342763830999091,1.0,-0.12234044924685784,0.20758545318939145,0.1757023685578908,-0.7932154339403448,0.15279532410446517,-0.8686568328408762,-0.1912267264985175,-0.7932113930929631
visibility,-0.010379636244322348,-0.032025056006765765,0.02841807166467986,-0.01807148971705107,-0.08362367713675238,-0.5688496962030879,-0.12234044924685784,1.0,0.21827770471179478,-0.2819787852635851,-0.0013037112811797064,-0.19317247698863338,0.02847116490722359,-0.06703877007829052,-0.0012127265867761168
pressure,-0.05818107234737537,-0.028322108174805672,-0.4304012922361245,0.1540372909514334,-0.1348948994987349,-0.31750262514423255,0.20758545318939145,0.21827770471179478,1.0,-0.010750265131072304,-0.48342002103470444,-0.4531155932476464,-0.43024893529312724,0.18658676694832418,-0.4833845928570561
cloudcover,0.011551878866780621,0.13537071215812593,-0.1899141391905471,-0.04259072493292193,0.04668380404228583,0.3985551028419557,0.1757023685578908,-0.2819787852635851,-0.010750265131072304,1.0,-0.1793186545345889,-0.005033268152358664,-0.1896987743703112,0.05620404064984714,-0.17932099222005915
heatIndexC,-0.02644755643410783,-0.15975578737529272,0.9796926368009484,0.10839665173298972,0.5077845819946929,0.15115757720272116,-0.7932154339403448,-0.0013037112811797064,-0.48342002103470444,-0.1793186545345889,1.0,0.41185076856324,0.9796736142847743,-0.0626209271092567,0.9999944725931336
dewPointC,-0.07873047088128676,-0.049123407647051726,0.2723464605350911,-0.28926324683905313,-0.013610033466572817,0.27730755019284625,0.15279532410446517,-0.19317247698863338,-0.4531155932476464,-0.005033268152358664,0.41185076856324,1.0,0.2722914192667396,-0.3469142258968453,0.4118439942596701
windChillC,-0.011829168009250813,-0.16713990037176632,0.9999244830302596,0.16852752400344045,0.5270520084992582,0.12150936909792923,-0.8686568328408762,0.02847116490722359,-0.43024893529312724,-0.1896987743703112,0.9796736142847743,0.2722914192667396,1.0,-0.0023652174373922402,0.9796809703957989
windGustKmph,-0.04669089991597403,-0.1377073109416171,-0.002648272465988743,0.9591564539973312,0.08613200987512393,0.03623320598877225,-0.1912267264985175,-0.06703877007829052,0.18658676694832418,0.05620404064984714,-0.0626209271092567,-0.3469142258968453,-0.0023652174373922402,1.0,-0.06260481122639727
feelsLikeC,-0.02644065019008803,-0.15972866283772208,0.9796999944024316,0.10843101100317526,0.5078007523036757,0.15121150778605094,-0.7932113930929631,-0.0012127265867761168,-0.4833845928570561,-0.17932099222005915,0.9999944725931336,0.4118439942596701,0.9796809703957989,-0.06260481122639727,1.0
