,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.24408231104732847,-0.07076686900351485,-0.0718087743527443,0.003874087575390945,0.14819013932627034,0.14830365172353113,-0.08653957986414303,-0.17041999028030444,0.16366510124115544,-0.03620415919896907,0.16036304220983655,-0.0707618584822155,-0.03179500392276155,-0.036162625157310765
statusS,0.24408231104732847,1.0,-0.005051160252191042,-0.07417697187664411,-0.01962972069414799,0.05676418837178295,-0.002258968662008071,-0.0013364001861661148,-0.07231043169697526,0.04570089000724601,-0.010964594018623514,-0.038880690454002616,-0.005120051277302307,-0.05059534146099461,-0.010933107681333105
tempC,-0.07076686900351485,-0.005051160252191042,1.0,0.14479168701584322,0.521961311982674,0.12302317260148893,-0.8677569121645852,0.03159618101131366,-0.42917796189232693,-0.18822674034033682,0.979888734363797,0.2786217925866697,0.9999231558805545,-0.02405455116041244,0.9798971221970871
windspeedKmph,-0.0718087743527443,-0.07417697187664411,0.14479168701584322,1.0,0.15098464763161523,0.01010779048646844,-0.32517258095375107,-0.014078567154401223,0.16585427990226664,-0.04032971315320533,0.08260473130453765,-0.3040943159771778,0.14515741643015162,0.9601492936025612,0.08264219713499585
cond,0.003874087575390945,-0.01962972069414799,0.521961311982674,0.15098464763161523,1.0,0.12221564570212567,-0.5544034076051805,-0.08178900986129495,-0.13140902389465933,0.04648938785588471,0.5029725006376131,-0.009815380724135306,0.5219812356348458,0.06655198997411907,0.5029900378037989
precipMM,0.14819013932627034,0.05676418837178295,0.12302317260148893,0.01010779048646844,0.12221564570212567,1.0,-0.0007264050946635845,-0.5643654771014001,-0.32845611318388757,0.4011294097977785,0.15493177302483152,0.2917016539610658,0.12296739203333136,0.038061532979371045,0.15498965746181226
humidity,0.14830365172353113,-0.002258968662008071,-0.8677569121645852,-0.32517258095375107,-0.5544034076051805,-0.0007264050946635845,1.0,-0.13071613412311853,0.2049188176968,0.17716416906588003,-0.7920672538019985,0.14927441208229214,-0.8678591637524838,-0.17423268204426057,-0.7920628291834312
visibility,-0.08653957986414303,-0.0013364001861661148,0.03159618101131366,-0.014078567154401223,-0.08178900986129495,-0.5643654771014001,-0.13071613412311853,1.0,0.22772090142619214,-0.2793395831078436,0.001133979902007899,-0.2000147387287393,0.03165341476018969,-0.06703709522043909,0.0012325256409966132
pressure,-0.17041999028030444,-0.07231043169697526,-0.42917796189232693,0.16585427990226664,-0.13140902389465933,-0.32845611318388757,0.2049188176968,0.22772090142619214,1.0,-0.022966019301400468,-0.4820247506398011,-0.4566571411986295,-0.4290197267699687,0.19587177744584733,-0.48198607005470834
cloudcover,0.16366510124115544,0.04570089000724601,-0.18822674034033682,-0.04032971315320533,0.04648938785588471,0.4011294097977785,0.17716416906588003,-0.2793395831078436,-0.022966019301400468,1.0,-0.17736826347266707,-0.0004971427336021099,-0.18799410513498707,0.05962785956881912,-0.17737008129230983
heatIndexC,-0.03620415919896907,-0.010964594018623514,0.979888734363797,0.08260473130453765,0.5029725006376131,0.15493177302483152,-0.7920672538019985,0.001133979902007899,-0.4820247506398011,-0.17736826347266707,1.0,0.41734469828728393,0.9798685325008368,-0.08606095096862362,0.9999936977002719
dewPointC,0.16036304220983655,-0.038880690454002616,0.2786217925866697,-0.3040943159771778,-0.009815380724135306,0.2917016539610658,0.14927441208229214,-0.2000147387287393,-0.4566571411986295,-0.0004971427336021099,0.41734469828728393,1.0,0.27857281756586333,-0.361995806112089,0.4173369499797583
windChillC,-0.0707618584822155,-0.005120051277302307,0.9999231558805545,0.14515741643015162,0.5219812356348458,0.12296739203333136,-0.8678591637524838,0.03165341476018969,-0.4290197267699687,-0.18799410513498707,0.9798685325008368,0.27857281756586333,1.0,-0.02376271250818152,0.9798769186462626
windGustKmph,-0.03179500392276155,-0.05059534146099461,-0.02405455116041244,0.9601492936025612,0.06655198997411907,0.038061532979371045,-0.17423268204426057,-0.06703709522043909,0.19587177744584733,0.05962785956881912,-0.08606095096862362,-0.361995806112089,-0.02376271250818152,1.0,-0.08604357754654814
feelsLikeC,-0.036162625157310765,-0.010933107681333105,0.9798971221970871,0.08264219713499585,0.5029900378037989,0.15498965746181226,-0.7920628291834312,0.0012325256409966132,-0.48198607005470834,-0.17737008129230983,0.9999936977002719,0.4173369499797583,0.9798769186462626,-0.08604357754654814,1.0
