,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.11156032109987961,0.07241696150794252,-0.05203157126064176,0.044850441633893436,0.007430799691866931,-0.05036389252201836,0.0440395659219331,-0.009658574274029033,-0.07797441639191838,0.06824707354574659,0.033682243554837545,0.07237938912454077,-0.060489333534261024,0.06828019533056931
statusS,0.11156032109987961,1.0,0.007569373853372667,-0.055508627115563126,0.058161568904521246,-0.01381843970366149,0.061428141995975606,-0.009026105913433719,-0.003836878277481547,0.06582858508565631,0.02956538152338784,0.14790489960122763,0.007593073813554421,-0.04132023683169603,0.029639984798795854
tempC,0.07241696150794252,0.007569373853372667,1.0,0.14467885948060386,0.521871617774015,0.12244138372540192,-0.8677248219128938,0.031666765811948036,-0.42934269625896365,-0.18843110639713212,0.9798931302335668,0.2786894600284712,0.9999231736680105,-0.02431935890659532,0.9799015116072062
windspeedKmph,-0.05203157126064176,-0.055508627115563126,0.14467885948060386,1.0,0.1510118293100736,0.01044581851400421,-0.32509585332885454,-0.014149660448287762,0.16598703288373368,-0.04016384319017403,0.0824709985012813,-0.3040957189520494,0.1450446143573919,0.9601032412704857,0.08250845444813484
cond,0.044850441633893436,0.058161568904521246,0.521871617774015,0.1510118293100736,1.0,0.12214781283921522,-0.5543478778764962,-0.08172327916260232,-0.1313608809467296,0.046466754960555204,0.5028662401303902,-0.009826581752382635,0.521891530564177,0.06657627401260646,0.5028837737418
precipMM,0.007430799691866931,-0.01381843970366149,0.12244138372540192,0.01044581851400421,0.12214781283921522,1.0,-0.00035232428471107746,-0.5642273998679057,-0.3274162205562602,0.40138275591587463,0.1542235623846565,0.2914373171990815,0.12238567131451179,0.03875112842760143,0.15428138176672512
humidity,-0.05036389252201836,0.061428141995975606,-0.8677248219128938,-0.32509585332885454,-0.5543478778764962,-0.00035232428471107746,1.0,-0.13075152046822194,0.2050573851950505,0.17730070471216494,-0.7920456027363025,0.14922244168173743,-0.8678271623368954,-0.17401534120365938,-0.7920411691504764
visibility,0.0440395659219331,-0.009026105913433719,0.031666765811948036,-0.014149660448287762,-0.08172327916260232,-0.5642273998679057,-0.13075152046822194,1.0,0.2274683317500718,-0.2793481103706659,0.001232910752480688,-0.19998419138664808,0.03172408721641516,-0.06717558322574287,0.0013313902882405447
pressure,-0.009658574274029033,-0.003836878277481547,-0.42934269625896365,0.16598703288373368,-0.1313608809467296,-0.3274162205562602,0.2050573851950505,0.2274683317500718,1.0,-0.022613380651216573,-0.48221609511669905,-0.45660627880172605,-0.42918452760150777,0.1962178337732619,-0.4821774347413309
cloudcover,-0.07797441639191838,0.06582858508565631,-0.18843110639713212,-0.04016384319017403,0.046466754960555204,0.40138275591587463,0.17730070471216494,-0.2793481103706659,-0.022613380651216573,1.0,-0.17760815260845053,-0.0005355462033545325,-0.18819850254449746,0.05993389125198122,-0.17760994816391118
heatIndexC,0.06824707354574659,0.02956538152338784,0.9798931302335668,0.0824709985012813,0.5028662401303902,0.1542235623846565,-0.7920456027363025,0.001232910752480688,-0.48221609511669905,-0.17760815260845053,1.0,0.4173748807946996,0.9798728888381718,-0.08635815694173904,0.9999937025450334
dewPointC,0.033682243554837545,0.14790489960122763,0.2786894600284712,-0.3040957189520494,-0.009826581752382635,0.2914373171990815,0.14922244168173743,-0.19998419138664808,-0.45660627880172605,-0.0005355462033545325,0.4173748807946996,1.0,0.27864034373285584,-0.36196588893108245,0.41736713915055534
windChillC,0.07237938912454077,0.007593073813554421,0.9999231736680105,0.1450446143573919,0.521891530564177,0.12238567131451179,-0.8678271623368954,0.03172408721641516,-0.42918452760150777,-0.18819850254449746,0.9798728888381718,0.27864034373285584,1.0,-0.02402757913227879,0.9798812685252078
windGustKmph,-0.060489333534261024,-0.04132023683169603,-0.02431935890659532,0.9601032412704857,0.06657627401260646,0.03875112842760143,-0.17401534120365938,-0.06717558322574287,0.1962178337732619,0.05993389125198122,-0.08635815694173904,-0.36196588893108245,-0.02402757913227879,1.0,-0.0863407883049126
feelsLikeC,0.06828019533056931,0.029639984798795854,0.9799015116072062,0.08250845444813484,0.5028837737418,0.15428138176672512,-0.7920411691504764,0.0013313902882405447,-0.4821774347413309,-0.17760994816391118,0.9999937025450334,0.41736713915055534,0.9798812685252078,-0.0863407883049126,1.0
