,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.26006261497916056,-0.2998909861994975,-0.06374585117369011,-0.17203455172436316,0.00850678199782643,0.2754698332076154,-0.007246643246706354,-0.07397490970584016,0.019356959785409866,-0.29552925274233843,-0.16121773273045384,-0.2996730415910691,-0.023064740566603976,-0.29552925274233843
statusS,0.26006261497916056,1.0,-0.18828771334835648,-0.08692076212502169,-0.06009885038335632,-0.08449595429725085,0.15048661992528792,0.08200248371352839,0.05774858884213705,0.022541135415862855,-0.16114324384289214,-0.035741336129099306,-0.18813584663900337,-0.08506848907414341,-0.16114324384289214
tempC,-0.2998909861994975,-0.18828771334835648,1.0,0.05840912363411109,0.4519239518111806,-0.04354523314968406,-0.9143508263092516,0.07969406388090806,0.00512205090957546,-0.20623141156862468,0.9733076059158065,0.3443079974906645,0.999902493623222,-0.08658859415166628,0.9733076059158065
windspeedKmph,-0.06374585117369011,-0.08692076212502169,0.05840912363411109,1.0,-0.07279663825890831,0.41406977191356686,-0.023205731202576296,-0.3409910795326855,-0.48050974670893154,0.35939443513185676,0.04650941431184685,-0.03194486337000369,0.059222955338332314,0.967206515822908,0.04650941431184685
cond,-0.17203455172436316,-0.06009885038335632,0.4519239518111806,-0.07279663825890831,1.0,-0.05117906944554924,-0.4404213795256969,-0.036229052393852025,0.029879816451063072,-0.1773973476425657,0.4533518298312935,0.14443110625430214,0.45230226152417985,-0.14716476448813628,0.4533518298312935
precipMM,0.00850678199782643,-0.08449595429725085,-0.04354523314968406,0.41406977191356686,-0.05117906944554924,1.0,0.22517821693930565,-0.7978600032630154,-0.4452296760954663,0.5826722929463645,0.019860284106143256,0.3402554672351094,-0.04293552064498399,0.4954788626865201,0.019860284106143256
humidity,0.2754698332076154,0.15048661992528792,-0.9143508263092516,-0.023205731202576296,-0.4404213795256969,0.22517821693930565,1.0,-0.24235891232032553,-0.10885280712054367,0.27481700399334913,-0.852655429818137,-0.05739558082528281,-0.9142289225240007,0.12355459266676216,-0.852655429818137
visibility,-0.007246643246706354,0.08200248371352839,0.07969406388090806,-0.3409910795326855,-0.036229052393852025,-0.7978600032630154,-0.24235891232032553,1.0,0.3324162330820536,-0.45927453742515434,0.01901502196119562,-0.2936511014914119,0.079088175259369,-0.4160415324398426,0.01901502196119562
pressure,-0.07397490970584016,0.05774858884213705,0.00512205090957546,-0.48050974670893154,0.029879816451063072,-0.4452296760954663,-0.10885280712054367,0.3324162330820536,1.0,-0.4438597293496882,-0.04590630810932986,-0.2082069284899002,0.004629184380569392,-0.4688986919373503,-0.04590630810932986
cloudcover,0.019356959785409866,0.022541135415862855,-0.20623141156862468,0.35939443513185676,-0.1773973476425657,0.5826722929463645,0.27481700399334913,-0.45927453742515434,-0.4438597293496882,1.0,-0.1523395903342412,0.10333933105218934,-0.20552747109479455,0.41596574170556466,-0.1523395903342412
heatIndexC,-0.29552925274233843,-0.16114324384289214,0.9733076059158065,0.04650941431184685,0.4533518298312935,0.019860284106143256,-0.852655429818137,0.01901502196119562,-0.04590630810932986,-0.1523395903342412,1.0,0.49398567149457845,0.9733574777915113,-0.09819947885776013,1.0
dewPointC,-0.16121773273045384,-0.035741336129099306,0.3443079974906645,-0.03194486337000369,0.14443110625430214,0.3402554672351094,-0.05739558082528281,-0.2936511014914119,-0.2082069284899002,0.10333933105218934,0.49398567149457845,1.0,0.3445941067033678,-0.06928397380160983,0.49398567149457845
windChillC,-0.2996730415910691,-0.18813584663900337,0.999902493623222,0.059222955338332314,0.45230226152417985,-0.04293552064498399,-0.9142289225240007,0.079088175259369,0.004629184380569392,-0.20552747109479455,0.9733574777915113,0.3445941067033678,1.0,-0.08581269447553898,0.9733574777915113
windGustKmph,-0.023064740566603976,-0.08506848907414341,-0.08658859415166628,0.967206515822908,-0.14716476448813628,0.4954788626865201,0.12355459266676216,-0.4160415324398426,-0.4688986919373503,0.41596574170556466,-0.09819947885776013,-0.06928397380160983,-0.08581269447553898,1.0,-0.09819947885776013
feelsLikeC,-0.29552925274233843,-0.16114324384289214,0.9733076059158065,0.04650941431184685,0.4533518298312935,0.019860284106143256,-0.852655429818137,0.01901502196119562,-0.04590630810932986,-0.1523395903342412,1.0,0.49398567149457845,0.9733574777915113,-0.09819947885776013,1.0
