,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.4060526415644546,-0.31191613553962133,-0.07064824026573892,-0.18621172522977805,0.013953251764602182,0.2829528374579293,0.00020469137774205745,-0.04834521709023203,0.01926614660961717,-0.3278043990282509,-0.20515030567553716,-0.31192219018795586,-0.019680925771806128,-0.3278043990282509
statusS,0.4060526415644546,1.0,-0.1270679440823712,0.048754285429186535,-0.12144576761026014,0.0518906930902211,0.1018369247038359,-0.03860352587229034,-0.15190494164829182,0.05421595528830781,-0.15769760500813862,-0.2026904447984223,-0.12726778635000063,0.06961149695407068,-0.15769760500813862
tempC,-0.31191613553962133,-0.1270679440823712,1.0,0.05871772161986739,0.4520408912420222,-0.044068848957991236,-0.9146138647543808,0.08006156377676216,0.005862155155670634,-0.20614553967505117,0.9732886820250966,0.34378774482677465,0.9999024437438683,-0.08619069579334213,0.9732886820250966
windspeedKmph,-0.07064824026573892,0.048754285429186535,0.05871772161986739,1.0,-0.07276281757381739,0.4143692981490166,-0.0232067756057377,-0.3411726678440912,-0.4809993022802886,0.35936026338673566,0.04681580053379737,-0.03166269023577243,0.0595318507885383,0.9672115576216608,0.04681580053379737
cond,-0.18621172522977805,-0.12144576761026014,0.4520408912420222,-0.07276281757381739,1.0,-0.051209789039856485,-0.4404073362175673,-0.036219537473101755,0.029925212081868602,-0.17731863525109384,0.45348429991123845,0.14446865104284803,0.45241952277719927,-0.14713046289636397,0.45348429991123845
precipMM,0.013953251764602182,0.0518906930902211,-0.044068848957991236,0.4143692981490166,-0.051209789039856485,1.0,0.22529703046564062,-0.7978556095876436,-0.4449643764208318,0.5828982231275232,0.019350109783557327,0.33993372310749725,-0.04345906968831803,0.49589178660323907,0.019350109783557327
humidity,0.2829528374579293,0.1018369247038359,-0.9146138647543808,-0.0232067756057377,-0.4404073362175673,0.22529703046564062,1.0,-0.24243236140199073,-0.10897069722159192,0.2748149184508901,-0.8529155272821761,-0.05732345321833948,-0.9144920544423589,0.12351963923924156,-0.8529155272821761
visibility,0.00020469137774205745,-0.03860352587229034,0.08006156377676216,-0.3411726678440912,-0.036219537473101755,-0.7978556095876436,-0.24243236140199073,1.0,0.3322262822188429,-0.4594161289986232,0.019373771527909235,-0.29343918977253164,0.07945562146732717,-0.4162967663498697,0.019373771527909235
pressure,-0.04834521709023203,-0.15190494164829182,0.005862155155670634,-0.4809993022802886,0.029925212081868602,-0.4449643764208318,-0.10897069722159192,0.3322262822188429,1.0,-0.4441945595667845,-0.045168370786131146,-0.20755490613655544,0.00536932386843916,-0.4695151700697984,-0.045168370786131146
cloudcover,0.01926614660961717,0.05421595528830781,-0.20614553967505117,0.35936026338673566,-0.17731863525109384,0.5828982231275232,0.2748149184508901,-0.4594161289986232,-0.4441945595667845,1.0,-0.15224088171230613,0.10354241532111723,-0.2054413929547035,0.4158967899537792,-0.15224088171230613
heatIndexC,-0.3278043990282509,-0.15769760500813862,0.9732886820250966,0.04681580053379737,0.45348429991123845,0.019350109783557327,-0.8529155272821761,0.019373771527909235,-0.045168370786131146,-0.15224088171230613,1.0,0.4935716854261782,0.9733385557014941,-0.09781325365863065,1.0
dewPointC,-0.20515030567553716,-0.2026904447984223,0.34378774482677465,-0.03166269023577243,0.14446865104284803,0.33993372310749725,-0.05732345321833948,-0.29343918977253164,-0.20755490613655544,0.10354241532111723,0.4935716854261782,1.0,0.3440739110533754,-0.06891665844537873,0.4935716854261782
windChillC,-0.31192219018795586,-0.12726778635000063,0.9999024437438683,0.0595318507885383,0.45241952277719927,-0.04345906968831803,-0.9144920544423589,0.07945562146732717,0.00536932386843916,-0.2054413929547035,0.9733385557014941,0.3440739110533754,1.0,-0.08541449177635159,0.9733385557014941
windGustKmph,-0.019680925771806128,0.06961149695407068,-0.08619069579334213,0.9672115576216608,-0.14713046289636397,0.49589178660323907,0.12351963923924156,-0.4162967663498697,-0.4695151700697984,0.4158967899537792,-0.09781325365863065,-0.06891665844537873,-0.08541449177635159,1.0,-0.09781325365863065
feelsLikeC,-0.3278043990282509,-0.15769760500813862,0.9732886820250966,0.04681580053379737,0.45348429991123845,0.019350109783557327,-0.8529155272821761,0.019373771527909235,-0.045168370786131146,-0.15224088171230613,1.0,0.4935716854261782,0.9733385557014941,-0.09781325365863065,1.0
