,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.2460045129697571,-0.1309820636130668,-0.04477237675174695,-0.032978533354943086,-0.005970069824247041,0.12742556124704282,0.005849839732900404,0.007014850752630304,0.0003961030334873052,-0.12931595349717204,-0.036736353109067664,-0.1311156803046467,-0.034058738585562735,-0.12931595349717204
statusS,0.2460045129697571,1.0,-0.3481424244409209,-0.18931728967711361,-0.14031852056387253,-0.13367164506685728,0.295680109967436,0.11652916039657307,0.09182640840396189,-0.013072030227981216,-0.3363373081131832,-0.12329265470628749,-0.34826608263727676,-0.15820407502909617,-0.3363373081131832
tempC,-0.1309820636130668,-0.3481424244409209,1.0,0.05887711185007742,0.4520993815658902,-0.04433085815183522,-0.9147600501348756,0.08024544270150999,0.006238237047157079,-0.20607696168929335,0.973279208879543,0.3435270361575117,0.9999024187660935,-0.08597353515904853,0.973279208879543
windspeedKmph,-0.04477237675174695,-0.18931728967711361,0.05887711185007742,1.0,-0.07274567131720107,0.4145221560910996,-0.023200763792174974,-0.34126560596953576,-0.4812507866570071,0.3593307638693756,0.04697415811043589,-0.03151706676187298,0.059691390919725806,0.9672160267795015,0.04697415811043589
cond,-0.032978533354943086,-0.14031852056387253,0.4520993815658902,-0.07274567131720107,1.0,-0.051225151007684884,-0.4403989061089762,-0.036214780113535905,0.029946520340322646,-0.17727586998821845,0.4535505607896042,0.14448744652938486,0.4524781740969515,-0.14711245630860964,0.4535505607896042
precipMM,-0.005970069824247041,-0.13367164506685728,-0.04433085815183522,0.4145221560910996,-0.051225151007684884,1.0,0.22534468876168237,-0.7978534079378327,-0.44483115962897335,0.5830291892281256,0.019094825204059633,0.33977271868253506,-0.04372104550056289,0.4961101959554863,0.019094825204059633
humidity,0.12742556124704282,0.295680109967436,-0.9147600501348756,-0.023200763792174974,-0.4403989061089762,0.22534468876168237,1.0,-0.24246202743910736,-0.10901132424206682,0.2748143953639783,-0.8530607947357095,-0.05730619050210058,-0.9146382915562791,0.12350830674888973,-0.8530607947357095
visibility,0.005849839732900404,0.11652916039657307,0.08024544270150999,-0.34126560596953576,-0.036214780113535905,-0.7978534079378327,-0.24246202743910736,1.0,0.3321309048627199,-0.45949863299445154,0.019553273477416682,-0.29333314980045583,0.07963947354032005,-0.4164328089391065,0.019553273477416682
pressure,0.007014850752630304,0.09182640840396189,0.006238237047157079,-0.4812507866570071,0.029946520340322646,-0.44483115962897335,-0.10901132424206682,0.3321309048627199,1.0,-0.4443917537947012,-0.04479384344727995,-0.20722475153074743,0.005745425492185787,-0.46984540594167734,-0.04479384344727995
cloudcover,0.0003961030334873052,-0.013072030227981216,-0.20607696168929335,0.3593307638693756,-0.17727586998821845,0.5830291892281256,0.2748143953639783,-0.45949863299445154,-0.4443917537947012,1.0,-0.1521648655437962,0.10367066037225639,-0.20537269431852348,0.4158420723066196,-0.1521648655437962
heatIndexC,-0.12931595349717204,-0.3363373081131832,0.973279208879543,0.04697415811043589,0.4535505607896042,0.019094825204059633,-0.8530607947357095,0.019553273477416682,-0.04479384344727995,-0.1521648655437962,1.0,0.49336422519523804,0.9733290834725444,-0.09760209715553891,1.0
dewPointC,-0.036736353109067664,-0.12329265470628749,0.3435270361575117,-0.03151706676187298,0.14448744652938486,0.33977271868253506,-0.05730619050210058,-0.29333314980045583,-0.20722475153074743,0.10367066037225639,0.49336422519523804,1.0,0.3438132307283213,-0.06871845109393816,0.49336422519523804
windChillC,-0.1311156803046467,-0.34826608263727676,0.9999024187660935,0.059691390919725806,0.4524781740969515,-0.04372104550056289,-0.9146382915562791,0.07963947354032005,0.005745425492185787,-0.20537269431852348,0.9733290834725444,0.3438132307283213,1.0,-0.08519717466088093,0.9733290834725444
windGustKmph,-0.034058738585562735,-0.15820407502909617,-0.08597353515904853,0.9672160267795015,-0.14711245630860964,0.4961101959554863,0.12350830674888973,-0.4164328089391065,-0.46984540594167734,0.4158420723066196,-0.09760209715553891,-0.06871845109393816,-0.08519717466088093,1.0,-0.09760209715553891
feelsLikeC,-0.12931595349717204,-0.3363373081131832,0.973279208879543,0.04697415811043589,0.4535505607896042,0.019094825204059633,-0.8530607947357095,0.019553273477416682,-0.04479384344727995,-0.1521648655437962,1.0,0.49336422519523804,0.9733290834725444,-0.09760209715553891,1.0
