,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.4345245110688772,-0.14395748758502,-0.14479162307568488,-0.010813904662164203,-0.20056742539221345,0.09057189828550904,0.1339937632727352,0.06181522918054589,-0.1176787173355105,-0.13913361613305603,-0.09595616639564795,-0.14407697012152304,-0.15706945823581442,-0.13913361613305603
statusS,0.4345245110688772,1.0,-0.22411499105947652,0.00476135685949473,-0.0706149403795739,0.0002457885824062312,0.20783959284150838,-0.020363090637447533,-0.02666117746613545,0.03482295111311193,-0.21789024910475913,-0.10768481546513946,-0.2239829642508498,0.026926227515889183,-0.21789024910475913
tempC,-0.14395748758502,-0.22411499105947652,1.0,0.05871772161986739,0.4520408912420222,-0.044068848957991236,-0.9146138647543808,0.08006156377676216,0.005862155155670634,-0.20614553967505117,0.9732886820250966,0.34378774482677465,0.9999024437438683,-0.08619069579334213,0.9732886820250966
windspeedKmph,-0.14479162307568488,0.00476135685949473,0.05871772161986739,1.0,-0.07276281757381739,0.4143692981490166,-0.0232067756057377,-0.3411726678440912,-0.4809993022802886,0.35936026338673566,0.04681580053379737,-0.03166269023577243,0.0595318507885383,0.9672115576216608,0.04681580053379737
cond,-0.010813904662164203,-0.0706149403795739,0.4520408912420222,-0.07276281757381739,1.0,-0.051209789039856485,-0.4404073362175673,-0.036219537473101755,0.029925212081868602,-0.17731863525109384,0.45348429991123845,0.14446865104284803,0.45241952277719927,-0.14713046289636397,0.45348429991123845
precipMM,-0.20056742539221345,0.0002457885824062312,-0.044068848957991236,0.4143692981490166,-0.051209789039856485,1.0,0.22529703046564062,-0.7978556095876436,-0.4449643764208318,0.5828982231275232,0.019350109783557327,0.33993372310749725,-0.04345906968831803,0.49589178660323907,0.019350109783557327
humidity,0.09057189828550904,0.20783959284150838,-0.9146138647543808,-0.0232067756057377,-0.4404073362175673,0.22529703046564062,1.0,-0.24243236140199073,-0.10897069722159192,0.2748149184508901,-0.8529155272821761,-0.05732345321833948,-0.9144920544423589,0.12351963923924156,-0.8529155272821761
visibility,0.1339937632727352,-0.020363090637447533,0.08006156377676216,-0.3411726678440912,-0.036219537473101755,-0.7978556095876436,-0.24243236140199073,1.0,0.3322262822188429,-0.4594161289986232,0.019373771527909235,-0.29343918977253164,0.07945562146732717,-0.4162967663498697,0.019373771527909235
pressure,0.06181522918054589,-0.02666117746613545,0.005862155155670634,-0.4809993022802886,0.029925212081868602,-0.4449643764208318,-0.10897069722159192,0.3322262822188429,1.0,-0.4441945595667845,-0.045168370786131146,-0.20755490613655544,0.00536932386843916,-0.4695151700697984,-0.045168370786131146
cloudcover,-0.1176787173355105,0.03482295111311193,-0.20614553967505117,0.35936026338673566,-0.17731863525109384,0.5828982231275232,0.2748149184508901,-0.4594161289986232,-0.4441945595667845,1.0,-0.15224088171230613,0.10354241532111723,-0.2054413929547035,0.4158967899537792,-0.15224088171230613
heatIndexC,-0.13913361613305603,-0.21789024910475913,0.9732886820250966,0.04681580053379737,0.45348429991123845,0.019350109783557327,-0.8529155272821761,0.019373771527909235,-0.045168370786131146,-0.15224088171230613,1.0,0.4935716854261782,0.9733385557014941,-0.09781325365863065,1.0
dewPointC,-0.09595616639564795,-0.10768481546513946,0.34378774482677465,-0.03166269023577243,0.14446865104284803,0.33993372310749725,-0.05732345321833948,-0.29343918977253164,-0.20755490613655544,0.10354241532111723,0.4935716854261782,1.0,0.3440739110533754,-0.06891665844537873,0.4935716854261782
windChillC,-0.14407697012152304,-0.2239829642508498,0.9999024437438683,0.0595318507885383,0.45241952277719927,-0.04345906968831803,-0.9144920544423589,0.07945562146732717,0.00536932386843916,-0.2054413929547035,0.9733385557014941,0.3440739110533754,1.0,-0.08541449177635159,0.9733385557014941
windGustKmph,-0.15706945823581442,0.026926227515889183,-0.08619069579334213,0.9672115576216608,-0.14713046289636397,0.49589178660323907,0.12351963923924156,-0.4162967663498697,-0.4695151700697984,0.4158967899537792,-0.09781325365863065,-0.06891665844537873,-0.08541449177635159,1.0,-0.09781325365863065
feelsLikeC,-0.13913361613305603,-0.21789024910475913,0.9732886820250966,0.04681580053379737,0.45348429991123845,0.019350109783557327,-0.8529155272821761,0.019373771527909235,-0.045168370786131146,-0.15224088171230613,1.0,0.4935716854261782,0.9733385557014941,-0.09781325365863065,1.0
