,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.5610286109676129,-0.17180312584211482,-0.058965018022284786,-0.09954266608404157,-0.0594790892016579,0.13963467064813365,0.03360535861344373,-0.047796074717296036,-0.019255935226809726,-0.17539954884076403,-0.16160488148950494,-0.17199763199855733,-0.04631457129167562,-0.17539954884076403
statusS,0.5610286109676129,1.0,-0.22561769060336512,-0.05282323160180555,-0.14705561134563844,-0.018292334154734306,0.21017071515350313,-0.014346934282181725,-0.021054953978940638,0.0051737162441851565,-0.23372223702369122,-0.17436964735927185,-0.22602070863119791,-0.021391273202352932,-0.23372223702369122
tempC,-0.17180312584211482,-0.22561769060336512,1.0,0.05840912363411109,0.4519239518111806,-0.04354523314968406,-0.9143508263092516,0.07969406388090806,0.00512205090957546,-0.20623141156862468,0.9733076059158065,0.3443079974906645,0.999902493623222,-0.08658859415166628,0.9733076059158065
windspeedKmph,-0.058965018022284786,-0.05282323160180555,0.05840912363411109,1.0,-0.07279663825890831,0.41406977191356686,-0.023205731202576296,-0.3409910795326855,-0.48050974670893154,0.35939443513185676,0.04650941431184685,-0.03194486337000369,0.059222955338332314,0.967206515822908,0.04650941431184685
cond,-0.09954266608404157,-0.14705561134563844,0.4519239518111806,-0.07279663825890831,1.0,-0.05117906944554924,-0.4404213795256969,-0.036229052393852025,0.029879816451063072,-0.1773973476425657,0.4533518298312935,0.14443110625430214,0.45230226152417985,-0.14716476448813628,0.4533518298312935
precipMM,-0.0594790892016579,-0.018292334154734306,-0.04354523314968406,0.41406977191356686,-0.05117906944554924,1.0,0.22517821693930565,-0.7978600032630154,-0.4452296760954663,0.5826722929463645,0.019860284106143256,0.3402554672351094,-0.04293552064498399,0.4954788626865201,0.019860284106143256
humidity,0.13963467064813365,0.21017071515350313,-0.9143508263092516,-0.023205731202576296,-0.4404213795256969,0.22517821693930565,1.0,-0.24235891232032553,-0.10885280712054367,0.27481700399334913,-0.852655429818137,-0.05739558082528281,-0.9142289225240007,0.12355459266676216,-0.852655429818137
visibility,0.03360535861344373,-0.014346934282181725,0.07969406388090806,-0.3409910795326855,-0.036229052393852025,-0.7978600032630154,-0.24235891232032553,1.0,0.3324162330820536,-0.45927453742515434,0.01901502196119562,-0.2936511014914119,0.079088175259369,-0.4160415324398426,0.01901502196119562
pressure,-0.047796074717296036,-0.021054953978940638,0.00512205090957546,-0.48050974670893154,0.029879816451063072,-0.4452296760954663,-0.10885280712054367,0.3324162330820536,1.0,-0.4438597293496882,-0.04590630810932986,-0.2082069284899002,0.004629184380569392,-0.4688986919373503,-0.04590630810932986
cloudcover,-0.019255935226809726,0.0051737162441851565,-0.20623141156862468,0.35939443513185676,-0.1773973476425657,0.5826722929463645,0.27481700399334913,-0.45927453742515434,-0.4438597293496882,1.0,-0.1523395903342412,0.10333933105218934,-0.20552747109479455,0.41596574170556466,-0.1523395903342412
heatIndexC,-0.17539954884076403,-0.23372223702369122,0.9733076059158065,0.04650941431184685,0.4533518298312935,0.019860284106143256,-0.852655429818137,0.01901502196119562,-0.04590630810932986,-0.1523395903342412,1.0,0.49398567149457845,0.9733574777915113,-0.09819947885776013,1.0
dewPointC,-0.16160488148950494,-0.17436964735927185,0.3443079974906645,-0.03194486337000369,0.14443110625430214,0.3402554672351094,-0.05739558082528281,-0.2936511014914119,-0.2082069284899002,0.10333933105218934,0.49398567149457845,1.0,0.3445941067033678,-0.06928397380160983,0.49398567149457845
windChillC,-0.17199763199855733,-0.22602070863119791,0.999902493623222,0.059222955338332314,0.45230226152417985,-0.04293552064498399,-0.9142289225240007,0.079088175259369,0.004629184380569392,-0.20552747109479455,0.9733574777915113,0.3445941067033678,1.0,-0.08581269447553898,0.9733574777915113
windGustKmph,-0.04631457129167562,-0.021391273202352932,-0.08658859415166628,0.967206515822908,-0.14716476448813628,0.4954788626865201,0.12355459266676216,-0.4160415324398426,-0.4688986919373503,0.41596574170556466,-0.09819947885776013,-0.06928397380160983,-0.08581269447553898,1.0,-0.09819947885776013
feelsLikeC,-0.17539954884076403,-0.23372223702369122,0.9733076059158065,0.04650941431184685,0.4533518298312935,0.019860284106143256,-0.852655429818137,0.01901502196119562,-0.04590630810932986,-0.1523395903342412,1.0,0.49398567149457845,0.9733574777915113,-0.09819947885776013,1.0
