,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.35039679766613263,0.12558687179220687,-0.11197872284089737,-0.03439223482887418,0.18532924269159515,0.11008821858286488,-0.13384654096042206,-0.31372635027007023,0.10425141510740875,0.21538526279507691,0.27912714840798336,0.12493513708180322,-0.08506886665560731,0.21538526279507691
statusS,0.35039679766613263,1.0,0.05297477016949374,0.010483802716745576,-0.09733591095829547,0.0035234937713002606,-0.08561470351686123,0.0011099395010306392,-0.03833097230541297,-0.017883322003902368,0.007280950713157892,-0.06743524332195579,0.052327901441234205,0.02296011542783742,0.007280950713157892
tempC,0.12558687179220687,0.05297477016949374,1.0,-0.3025122989643505,0.2504794504881541,0.19518011429980395,-0.6192727212016318,-0.12427734554157226,-0.4528122361679174,-0.08859137304834873,0.8966548571591316,0.35929269281911413,0.9996828217644131,-0.32169054335477654,0.8966548571591316
windspeedKmph,-0.11197872284089737,0.010483802716745576,-0.3025122989643505,1.0,-0.3298065631873287,-0.06474151832626295,-0.15988342177531473,0.020039746537981754,0.18227520833738325,-0.10923159740473654,-0.4719643045285893,-0.5208323441406936,-0.3026298358844077,0.9798473178697029,-0.4719643045285893
cond,-0.03439223482887418,-0.09733591095829547,0.2504794504881541,-0.3298065631873287,1.0,-0.19421101788026926,-0.2186607979733122,0.11588696681995633,0.06206514506120683,-0.3076560234420267,0.2378919775071153,0.06398264706904297,0.2500609032567852,-0.36695227557198656,0.2378919775071153
precipMM,0.18532924269159515,0.0035234937713002606,0.19518011429980395,-0.06474151832626295,-0.19421101788026926,1.0,0.22981176487114469,-0.7455655889765822,-0.5524694031866512,0.46705498753520736,0.34328376345197603,0.48793819467617694,0.19510288406054935,0.03977689887094221,0.34328376345197603
humidity,0.11008821858286488,-0.08561470351686123,-0.6192727212016318,-0.15988342177531473,-0.2186607979733122,0.22981176487114469,1.0,-0.22163805733598083,-0.10501870806631283,0.3027364022961269,-0.2854428995600726,0.43785061758288657,-0.6195324409313627,-0.08876127098231132,-0.2854428995600726
visibility,-0.13384654096042206,0.0011099395010306392,-0.12427734554157226,0.020039746537981754,0.11588696681995633,-0.7455655889765822,-0.22163805733598083,1.0,0.43297265842441546,-0.3702850279285941,-0.26080776971647485,-0.3986384580446523,-0.1241462285764443,-0.08445808190167627,-0.26080776971647485
pressure,-0.31372635027007023,-0.03833097230541297,-0.4528122361679174,0.18227520833738325,0.06206514506120683,-0.5524694031866512,-0.10501870806631283,0.43297265842441546,1.0,-0.2405082168001449,-0.6098341963590165,-0.6500097658834525,-0.4525280270242202,0.11879362106096565,-0.6098341963590165
cloudcover,0.10425141510740875,-0.017883322003902368,-0.08859137304834873,-0.10923159740473654,-0.3076560234420267,0.46705498753520736,0.3027364022961269,-0.3702850279285941,-0.2405082168001449,1.0,0.032262170626509656,0.23253099596500817,-0.08853022632506093,-0.041051533522069195,0.032262170626509656
heatIndexC,0.21538526279507691,0.007280950713157892,0.8966548571591316,-0.4719643045285893,0.2378919775071153,0.34328376345197603,-0.2854428995600726,-0.26080776971647485,-0.6098341963590165,0.032262170626509656,1.0,0.6958916177548871,0.8966829464127647,-0.45732617608446857,1.0
dewPointC,0.27912714840798336,-0.06743524332195579,0.35929269281911413,-0.5208323441406936,0.06398264706904297,0.48793819467617694,0.43785061758288657,-0.3986384580446523,-0.6500097658834525,0.23253099596500817,0.6958916177548871,1.0,0.359003788128453,-0.46003218663899553,0.6958916177548871
windChillC,0.12493513708180322,0.052327901441234205,0.9996828217644131,-0.3026298358844077,0.2500609032567852,0.19510288406054935,-0.6195324409313627,-0.1241462285764443,-0.4525280270242202,-0.08853022632506093,0.8966829464127647,0.359003788128453,1.0,-0.3219923421158717,0.8966829464127647
windGustKmph,-0.08506886665560731,0.02296011542783742,-0.32169054335477654,0.9798473178697029,-0.36695227557198656,0.03977689887094221,-0.08876127098231132,-0.08445808190167627,0.11879362106096565,-0.041051533522069195,-0.45732617608446857,-0.46003218663899553,-0.3219923421158717,1.0,-0.45732617608446857
feelsLikeC,0.21538526279507691,0.007280950713157892,0.8966548571591316,-0.4719643045285893,0.2378919775071153,0.34328376345197603,-0.2854428995600726,-0.26080776971647485,-0.6098341963590165,0.032262170626509656,1.0,0.6958916177548871,0.8966829464127647,-0.45732617608446857,1.0
