,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.22163836087063585,-0.049192905216402745,-0.08144158554770499,0.04655192150944683,-0.07841658414487332,0.033163410340171166,0.06436003463351729,0.04501734326301,-0.1276211460463206,-0.056771689962500066,-0.019565449861152922,-0.05049235655129331,-0.0829572981816801,-0.056771689962500066
statusS,0.22163836087063585,1.0,0.19196201763450782,-0.011450368277374515,0.00442411767740255,0.136663830996696,-0.04067754726863371,-0.12245745396653392,-0.20475314959334498,0.031003092980938837,0.20020227563216877,0.17672906577323882,0.19074650797730244,-0.008097229297680508,0.20020227563216877
tempC,-0.049192905216402745,0.19196201763450782,1.0,-0.3026296904567038,0.2509083724686698,0.19541501648966725,-0.6192775770221494,-0.12445415214929408,-0.453245164184821,-0.08824439726875306,0.8967560502001473,0.35966599736557214,0.9996831396145441,-0.3217936563575368,0.8967560502001473
windspeedKmph,-0.08144158554770499,-0.011450368277374515,-0.3026296904567038,1.0,-0.3299218563269451,-0.06490849824292792,-0.15981361564270388,0.02016552306301124,0.18248546557961373,-0.10941048305854713,-0.4719965577918426,-0.5209072090669902,-0.3027472254953853,0.9798417512824109,-0.4719965577918426
cond,0.04655192150944683,0.00442411767740255,0.2509083724686698,-0.3299218563269451,1.0,-0.1938011388584511,-0.21881980502769746,0.11559662588004337,0.06140086577303718,-0.30708961372528415,0.23837246647220797,0.06439008617892711,0.250489964889059,-0.36703802877396713,0.23837246647220797
precipMM,-0.07841658414487332,0.136663830996696,0.19541501648966725,-0.06490849824292792,-0.1938011388584511,1.0,0.2296377404260477,-0.7455673597248297,-0.552537505616785,0.4671300860277845,0.34345397910201,0.48802073550470354,0.19533785337949877,0.03960512990680878,0.34345397910201
humidity,0.033163410340171166,-0.04067754726863371,-0.6192775770221494,-0.15981361564270388,-0.21881980502769746,0.2296377404260477,1.0,-0.22151612552712924,-0.1046843417675621,0.30254021338688314,-0.2856181655430917,0.4375403733773181,-0.6195373438078254,-0.08869108671507868,-0.2856181655430917
visibility,0.06436003463351729,-0.12245745396653392,-0.12445415214929408,0.02016552306301124,0.11559662588004337,-0.7455673597248297,-0.22151612552712924,1.0,0.43301859350372873,-0.3703564041810418,-0.26092611351113515,-0.3986907366387842,-0.12432309939710366,-0.08433347305732337,-0.26092611351113515
pressure,0.04501734326301,-0.20475314959334498,-0.453245164184821,0.18248546557961373,0.06140086577303718,-0.552537505616785,-0.1046843417675621,0.43301859350372873,1.0,-0.2407250422674498,-0.6101651878568898,-0.6501667760451895,-0.45296148487486454,0.11901045079415759,-0.6101651878568898
cloudcover,-0.1276211460463206,0.031003092980938837,-0.08824439726875306,-0.10941048305854713,-0.30708961372528415,0.4671300860277845,0.30254021338688314,-0.3703564041810418,-0.2407250422674498,1.0,0.0325852435670915,0.23269486513563184,-0.08818274715090424,-0.04122354537916058,0.0325852435670915
heatIndexC,-0.056771689962500066,0.20020227563216877,0.8967560502001473,-0.4719965577918426,0.23837246647220797,0.34345397910201,-0.2856181655430917,-0.26092611351113515,-0.6101651878568898,0.0325852435670915,1.0,0.6960461423297437,0.8967840417725925,-0.4573542976382446,1.0
dewPointC,-0.019565449861152922,0.17672906577323882,0.35966599736557214,-0.5209072090669902,0.06439008617892711,0.48802073550470354,0.4375403733773181,-0.3986907366387842,-0.6501667760451895,0.23269486513563184,0.6960461423297437,1.0,0.35937718449270484,-0.4601139458905883,0.6960461423297437
windChillC,-0.05049235655129331,0.19074650797730244,0.9996831396145441,-0.3027472254953853,0.250489964889059,0.19533785337949877,-0.6195373438078254,-0.12432309939710366,-0.45296148487486454,-0.08818274715090424,0.8967840417725925,0.35937718449270484,1.0,-0.3220954567383557,0.8967840417725925
windGustKmph,-0.0829572981816801,-0.008097229297680508,-0.3217936563575368,0.9798417512824109,-0.36703802877396713,0.03960512990680878,-0.08869108671507868,-0.08433347305732337,0.11901045079415759,-0.04122354537916058,-0.4573542976382446,-0.4601139458905883,-0.3220954567383557,1.0,-0.4573542976382446
feelsLikeC,-0.056771689962500066,0.20020227563216877,0.8967560502001473,-0.4719965577918426,0.23837246647220797,0.34345397910201,-0.2856181655430917,-0.26092611351113515,-0.6101651878568898,0.0325852435670915,1.0,0.6960461423297437,0.8967840417725925,-0.4573542976382446,1.0
