,statusN,statusS,tempC,dewptC,windspeedKMH,presMB,presTenMB,ccOKTA,lowCCOKTA,HKM,visKM,precipMM
statusN,1.0,0.10201416492654833,0.1485351741569407,0.02639350467904904,0.06129416473633698,-0.0790674556036727,-0.03913458014656654,0.06503241132709309,0.07892917100379186,-0.020361685717108197,-0.012332119808993196,0.011075034377494289
statusS,0.10201416492654833,1.0,0.1856273528299066,0.00996853327109119,0.1680936895194061,-0.00036316410672807497,-0.09668848521815492,0.11227194403288304,0.10988296702835476,0.015236679715817434,0.3178798480757217,0.042502168785035314
tempC,0.1485351741569407,0.1856273528299066,1.0,0.4209477998114645,0.45988078417012745,-0.40197175985022454,-0.20078264324526182,-0.1307562357192305,-0.00918347965306829,0.02307423553927028,0.5116375597709002,-0.16060569347417486
dewptC,0.02639350467904904,0.00996853327109119,0.4209477998114645,1.0,0.2541518388891531,-0.6645957467577045,-0.033010063843167056,0.27649849227452217,0.25592311466206724,-0.12463127710047185,-0.015261332071163905,0.25093410129343663
windspeedKMH,0.06129416473633698,0.1680936895194061,0.45988078417012745,0.2541518388891531,1.0,-0.33576755629569094,-0.12077776130625291,0.15959630946472866,0.18246877776412299,-0.06645979761385529,0.2982974421886749,0.1332853578290891
presMB,-0.0790674556036727,-0.00036316410672807497,-0.40197175985022454,-0.6645957467577045,-0.33576755629569094,1.0,0.19701136352194362,-0.22759246340868047,-0.22680891671430375,0.13322034138831176,0.04103582041766995,-0.25282936706419556
presTenMB,-0.03913458014656654,-0.09668848521815492,-0.20078264324526182,-0.033010063843167056,-0.12077776130625291,0.19701136352194362,1.0,-0.05218986908279207,-0.11607960594059956,-0.05639620093558223,-0.13570991541637248,0.06032251157070982
ccOKTA,0.06503241132709309,0.11227194403288304,-0.1307562357192305,0.27649849227452217,0.15959630946472866,-0.22759246340868047,-0.05218986908279207,1.0,0.74740758107543,-0.1603259371142637,-0.10843012595743345,0.425053538423618
lowCCOKTA,0.07892917100379186,0.10988296702835476,-0.00918347965306829,0.25592311466206724,0.18246877776412299,-0.22680891671430375,-0.11607960594059956,0.74740758107543,1.0,-0.08560854353350567,-0.11499151121684074,0.37670152940945645
HKM,-0.020361685717108197,0.015236679715817434,0.02307423553927028,-0.12463127710047185,-0.06645979761385529,0.13322034138831176,-0.05639620093558223,-0.1603259371142637,-0.08560854353350567,1.0,0.10492068001436977,-0.2295088644450145
visKM,-0.012332119808993196,0.3178798480757217,0.5116375597709002,-0.015261332071163905,0.2982974421886749,0.04103582041766995,-0.13570991541637248,-0.10843012595743345,-0.11499151121684074,0.10492068001436977,1.0,-0.23045320571226907
precipMM,0.011075034377494289,0.042502168785035314,-0.16060569347417486,0.25093410129343663,0.1332853578290891,-0.25282936706419556,0.06032251157070982,0.425053538423618,0.37670152940945645,-0.2295088644450145,-0.23045320571226907,1.0
