,A. Maceda,Airport Road,Anda Circle,Antipolo,Baclaran,Bluementritt,Buendia,Coastal Road,Edsa Extension,Finance Road,Gov. Forbes - Lacson,Lerma,Magsaysay Ave,P.Noval,Pablo Ocampo,Pedro Gil,Quezon Ave.,Quirino,Rajah Sulayman,Taft Ave.,U.N. Avenue,Vicente Cruz,Welcome Rotunda
A. Maceda,1.0,0.30575184324510013,0.1369135785731396,0.7548891414580787,0.187264646270715,0.6097613744785424,0.12116580140057213,0.16719027682728496,0.0385098381655993,0.27829332747254165,0.6075900983279904,0.1094495093737699,0.23788785968190074,0.2536908125195682,0.2484491720164287,0.31888095195647376,0.20834206689772555,0.4583707186710761,0.29365080135513993,0.23957840221379428,0.28091316132090494,0.7205055686244264,0.5105413748040668
Airport Road,0.30575184324510013,1.0,0.16430947942542323,0.32022018179161893,0.37790653217521264,0.2084723740214167,0.21741547238462572,0.3542481045452155,0.09822431537633716,0.19807656230743753,0.2165823908356295,0.15112000737337097,0.19562147516139186,0.32805285649651555,0.21801724494860047,0.45963210271801325,0.20343860852962806,0.3596375518487942,0.23853324139881002,0.24892116251944396,0.3359705065300889,0.2849013226420043,0.289160741941429
Anda Circle,0.1369135785731396,0.16430947942542323,1.0,0.13510849223313706,0.1318986432160535,0.17005720183298512,0.10420795553162253,0.23008693014325302,0.013464177709638703,-0.13023984855317222,0.13886950466988798,0.07920951462640057,0.08243071571724177,0.10699024886733566,0.15875395702827103,0.1266752187703493,0.08043608417551076,0.1297592686031995,0.057424082325227895,0.10512548150872221,0.23450930014877872,0.10562072490494771,0.08976778468870367
Antipolo,0.7548891414580787,0.32022018179161893,0.13510849223313706,1.0,0.1888603612300902,0.6172985386670425,0.17686178365287542,0.17736351431257155,0.00215222859573699,0.2902251425736177,0.710365521164165,0.07130171076071477,0.3019608321094563,0.32276704743405177,0.1801968964667287,0.3713576532031859,0.19414386252812227,0.4548075750968046,0.2836107744033896,0.3061831137512271,0.3370601669861549,0.7612140241432395,0.5699181792609496
Baclaran,0.187264646270715,0.37790653217521264,0.1318986432160535,0.1888603612300902,1.0,0.1604880156270911,0.09095942395731425,0.15148337607462575,0.16974521546915797,0.10166213216718925,0.1029881867500106,0.14624710100082222,-0.015085012674550896,0.11314029363356161,0.25514451176933445,0.15586541491678127,0.06169579050544033,0.24728376607586153,0.2799064646031588,0.12051129287564934,0.05336205312732418,0.18183287629786674,0.056325788831920104
Bluementritt,0.6097613744785424,0.2084723740214167,0.17005720183298512,0.6172985386670425,0.1604880156270911,1.0,0.06498193357785652,0.18511334910611668,0.043622588113743116,0.17104216592114357,0.5570913350605085,0.11783850526149257,0.14695990340984172,0.2262698097438708,0.19136602520190676,0.20081098481743367,0.16333591172860684,0.4512697710163223,0.27455885669644436,0.24393052544819363,0.272582625752032,0.5218510734481395,0.5756692102635684
Buendia,0.12116580140057213,0.21741547238462572,0.10420795553162253,0.17686178365287542,0.09095942395731425,0.06498193357785652,1.0,0.0716236723833666,0.08706781392723313,0.18604319285074442,0.18712468305648217,0.05828346842229592,0.36716211461140363,0.236810191993466,0.08508947716662948,0.28527962697882275,0.08830473941793102,0.12536108975935323,0.2092131624747582,0.16761057236624916,0.22285298982396584,0.18270465821539397,0.19114681473562845
Coastal Road,0.16719027682728496,0.3542481045452155,0.23008693014325302,0.17736351431257155,0.15148337607462575,0.18511334910611668,0.0716236723833666,1.0,0.06022138226717815,-0.05588460697150959,0.12711691594455163,0.20980197091439298,0.06371243394939585,0.2441970586182986,0.17012807729713314,0.3450524029099417,0.19174773537231546,0.24283076010934126,0.10228944944110345,0.1889401131735958,0.38976391477669786,0.17657332909827653,0.2388012464792607
Edsa Extension,0.0385098381655993,0.09822431537633716,0.013464177709638703,0.00215222859573699,0.16974521546915797,0.043622588113743116,0.08706781392723313,0.06022138226717815,1.0,0.06958788615645242,-0.02332203223862827,0.026789535184243266,-0.010817017946585364,0.05872552229395739,0.039465659615264985,0.09530920573650929,0.02057446333109909,0.022781900019395403,0.0956744451383878,0.07118067078796869,-0.004914432955311786,0.0011927591577211756,0.00922815781937146
Finance Road,0.27829332747254165,0.19807656230743753,-0.13023984855317222,0.2902251425736177,0.10166213216718925,0.17104216592114357,0.18604319285074442,-0.05588460697150959,0.06958788615645242,1.0,0.29245317009736244,0.07378154266613522,0.12205221345333281,0.13904930080218605,0.10010074886641257,0.26806193077430357,0.058220648754216495,0.2221075106425243,0.2848986569850078,0.162572089593733,0.09215161537332128,0.33901052747064236,0.25032661296100955
