,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.2601648635852193,0.23945910614247906,0.14411043043782026,0.14909673302187998,0.07849592866582242,-0.2657786550450533,-0.013347131976146745,0.08087580114661322,-0.012710801792898225,0.20524108929851634,-0.02409938291121249,0.23927209746866226,0.07552228439065949,0.2057987571049018
statusS,0.2601648635852193,1.0,0.09916237806448386,0.05738087258801356,-0.06790047842679106,-0.03723072055766131,-0.11249430602342256,-0.007696426368527953,-0.024579686603818564,-0.06438046198194433,0.06406857346030506,-0.062114177428496654,0.09915414219510947,0.03027528450078387,0.06400495235438547
tempC,0.23945910614247906,0.09916237806448386,1.0,-0.030425975849396308,0.48466276997245117,-0.08862767392361665,-0.8381612785608947,0.09960571211472136,-0.22536032953964547,-0.1725635314642218,0.9582637151053929,0.27724524151168367,0.9999205412400739,-0.15797704173238625,0.9585181974470546
windspeedKmph,0.14411043043782026,0.05738087258801356,-0.030425975849396308,1.0,0.0064090007068758875,0.49651093747810565,-0.091427343629987,-0.3618311375276993,-0.17966252961846038,0.2853976750193963,-0.08820912680886847,-0.1967679897984338,-0.030019710443950673,0.9408364038591983,-0.0876613093329098
cond,0.14909673302187998,-0.06790047842679106,0.48466276997245117,0.0064090007068758875,1.0,-0.05933084461964169,-0.45471791602206446,-0.043909115466942664,-0.11777606647865019,0.015228218010218616,0.4735524789337154,0.09967342079573575,0.4846805235674655,-0.05653632627114141,0.4728090402677144
precipMM,0.07849592866582242,-0.03723072055766131,-0.08862767392361665,0.49651093747810565,-0.05933084461964169,1.0,0.26367547636256006,-0.7695297875153619,-0.4239597257646796,0.5177426217964826,-0.01973211217033645,0.26736511173872207,-0.08851377821687646,0.6702724242515881,-0.01926811719906253
humidity,-0.2657786550450533,-0.11249430602342256,-0.8381612785608947,-0.091427343629987,-0.45471791602206446,0.26367547636256006,1.0,-0.30386137687551307,-0.12334395739442695,0.3184659130718451,-0.7004563517664707,0.2553803981146123,-0.8381755501659901,0.11846784394161429,-0.6996866585907082
visibility,-0.013347131976146745,-0.007696426368527953,0.09960571211472136,-0.3618311375276993,-0.043909115466942664,-0.7695297875153619,-0.30386137687551307,1.0,0.4566389157975438,-0.5453658454440681,0.008476959589201713,-0.3196051105461466,0.09939486797538472,-0.546415026721507,0.008502519829048228
pressure,0.08087580114661322,-0.024579686603818564,-0.22536032953964547,-0.17966252961846038,-0.11777606647865019,-0.4239597257646796,-0.12334395739442695,0.4566389157975438,1.0,-0.4289218885414708,-0.3377379142983014,-0.5908482511262213,-0.2254267414569443,-0.3096309238084303,-0.3383720308016355
cloudcover,-0.012710801792898225,-0.06438046198194433,-0.1725635314642218,0.2853976750193963,0.015228218010218616,0.5177426217964826,0.3184659130718451,-0.5453658454440681,-0.4289218885414708,1.0,-0.0876004692828349,0.24518905711334338,-0.17227517462519237,0.4386227484296984,-0.08780962718561378
heatIndexC,0.20524108929851634,0.06406857346030506,0.9582637151053929,-0.08820912680886847,0.4735524789337154,-0.01973211217033645,-0.7004563517664707,0.008476959589201713,-0.3377379142983014,-0.0876004692828349,1.0,0.48306979200801525,0.9582952777984488,-0.17110057994979574,0.9997244664503875
dewPointC,-0.02409938291121249,-0.062114177428496654,0.27724524151168367,-0.1967679897984338,0.09967342079573575,0.26736511173872207,0.2553803981146123,-0.3196051105461466,-0.5908482511262213,0.24518905711334338,0.48306979200801525,1.0,0.2772687392124587,-0.0791536133695678,0.48459784841707065
windChillC,0.23927209746866226,0.09915414219510947,0.9999205412400739,-0.030019710443950673,0.4846805235674655,-0.08851377821687646,-0.8381755501659901,0.09939486797538472,-0.2254267414569443,-0.17227517462519237,0.9582952777984488,0.2772687392124587,1.0,-0.15754630395465968,0.9585497441656697
windGustKmph,0.07552228439065949,0.03027528450078387,-0.15797704173238625,0.9408364038591983,-0.05653632627114141,0.6702724242515881,0.11846784394161429,-0.546415026721507,-0.3096309238084303,0.4386227484296984,-0.17110057994979574,-0.0791536133695678,-0.15754630395465968,1.0,-0.17070527837226307
feelsLikeC,0.2057987571049018,0.06400495235438547,0.9585181974470546,-0.0876613093329098,0.4728090402677144,-0.01926811719906253,-0.6996866585907082,0.008502519829048228,-0.3383720308016355,-0.08780962718561378,0.9997244664503875,0.48459784841707065,0.9585497441656697,-0.17070527837226307,1.0
